time,state,label
Tue May 05 23:59:57 +0000 2020,mi,-1
Tue May 05 23:59:54 +0000 2020,nj,-1
Tue May 05 23:59:47 +0000 2020,sc,1
Tue May 05 23:59:41 +0000 2020,al,-1
Tue May 05 23:59:39 +0000 2020,co,-1
Tue May 05 23:59:38 +0000 2020,tx,1
Tue May 05 23:59:36 +0000 2020,ma,-1
Tue May 05 23:59:35 +0000 2020,ca,-1
Tue May 05 23:59:32 +0000 2020,pa,-1
Tue May 05 23:59:30 +0000 2020,or,-1
Tue May 05 23:59:29 +0000 2020,ca,1
Tue May 05 23:59:29 +0000 2020,ny,-1
Tue May 05 23:59:24 +0000 2020,fl,-1
Tue May 05 23:59:22 +0000 2020,ca,-1
Tue May 05 23:59:20 +0000 2020,il,1
Tue May 05 23:59:20 +0000 2020,ca,-1
Tue May 05 23:59:14 +0000 2020,tx,-1
Tue May 05 23:59:12 +0000 2020,al,1
Tue May 05 23:59:08 +0000 2020,ca,-1
Tue May 05 23:59:06 +0000 2020,tx,-1
Tue May 05 23:59:04 +0000 2020,ca,1
Tue May 05 23:58:54 +0000 2020,ca,-1
Tue May 05 23:58:54 +0000 2020,ny,-1
Tue May 05 23:58:52 +0000 2020,oh,1
Tue May 05 23:58:48 +0000 2020,va,-1
Tue May 05 23:58:46 +0000 2020,tx,-1
Tue May 05 23:58:44 +0000 2020,ny,-1
Tue May 05 23:58:44 +0000 2020,la,1
Tue May 05 23:58:42 +0000 2020,tx,-1
Tue May 05 23:58:35 +0000 2020,tx,-1
Tue May 05 23:58:35 +0000 2020,ny,1
Tue May 05 23:58:26 +0000 2020,ca,-1
Tue May 05 23:58:20 +0000 2020,fl,-1
Tue May 05 23:58:20 +0000 2020,mi,-1
Tue May 05 23:58:15 +0000 2020,ny,-1
Tue May 05 23:58:10 +0000 2020,il,-1
Tue May 05 23:58:06 +0000 2020,mt,-1
Tue May 05 23:58:03 +0000 2020,md,-1
Tue May 05 23:58:03 +0000 2020,ny,-1
Tue May 05 23:58:01 +0000 2020,ny,-1
Tue May 05 23:57:58 +0000 2020,ca,-1
Tue May 05 23:57:52 +0000 2020,ks,1
Tue May 05 23:57:52 +0000 2020,az,-1
Tue May 05 23:57:50 +0000 2020,ca,-1
Tue May 05 23:57:48 +0000 2020,ca,-1
Tue May 05 23:57:45 +0000 2020,ca,-1
Tue May 05 23:57:41 +0000 2020,ga,-1
Tue May 05 23:57:38 +0000 2020,ma,-1
Tue May 05 23:57:35 +0000 2020,tx,-1
Tue May 05 23:57:34 +0000 2020,ok,-1
Tue May 05 23:57:33 +0000 2020,sc,1
Tue May 05 23:57:31 +0000 2020,ok,1
Tue May 05 23:57:29 +0000 2020,ca,-1
Tue May 05 23:57:29 +0000 2020,fl,-1
Tue May 05 23:57:29 +0000 2020,wa,-1
Tue May 05 23:57:28 +0000 2020,nj,1
Tue May 05 23:57:27 +0000 2020,ca,-1
Tue May 05 23:57:27 +0000 2020,il,-1
Tue May 05 23:57:26 +0000 2020,tn,-1
Tue May 05 23:57:25 +0000 2020,co,-1
Tue May 05 23:57:23 +0000 2020,mi,-1
Tue May 05 23:57:22 +0000 2020,tx,-1
Tue May 05 23:57:20 +0000 2020,ca,-1
Tue May 05 23:57:17 +0000 2020,pa,-1
Tue May 05 23:57:14 +0000 2020,nm,-1
Tue May 05 23:57:13 +0000 2020,pa,-1
Tue May 05 23:57:11 +0000 2020,ny,-1
Tue May 05 23:57:10 +0000 2020,nj,-1
Tue May 05 23:57:09 +0000 2020,md,-1
Tue May 05 23:57:09 +0000 2020,ak,-1
Tue May 05 23:57:08 +0000 2020,wi,-1
