time,state,label
Sat May 09 23:54:34 +0000 2020,pa,1
Sat May 09 23:54:30 +0000 2020,nc,1
Sat May 09 23:54:29 +0000 2020,tx,-1
Sat May 09 23:54:28 +0000 2020,mo,-1
Sat May 09 23:54:27 +0000 2020,fl,1
Sat May 09 23:54:25 +0000 2020,ca,1
Sat May 09 23:54:24 +0000 2020,az,1
Sat May 09 23:54:17 +0000 2020,nc,1
Sat May 09 23:54:14 +0000 2020,id,1
Sat May 09 23:54:12 +0000 2020,ca,1
Sat May 09 23:54:11 +0000 2020,la,-1
Sat May 09 23:54:08 +0000 2020,ut,1
Sat May 09 23:54:04 +0000 2020,nc,1
Sat May 09 23:54:00 +0000 2020,ny,1
Sat May 09 23:53:58 +0000 2020,ny,1
Sat May 09 23:53:57 +0000 2020,ca,-1
Sat May 09 23:53:56 +0000 2020,co,-1
Sat May 09 23:53:51 +0000 2020,nc,1
Sat May 09 23:53:48 +0000 2020,nm,-1
Sat May 09 23:53:45 +0000 2020,ga,1
Sat May 09 23:53:45 +0000 2020,ca,1
Sat May 09 23:53:43 +0000 2020,ca,-1
Sat May 09 23:53:43 +0000 2020,or,-1
Sat May 09 23:53:43 +0000 2020,ca,1
Sat May 09 23:53:42 +0000 2020,tx,1
Sat May 09 23:53:34 +0000 2020,nv,1
Sat May 09 23:53:32 +0000 2020,wi,-1
Sat May 09 23:53:24 +0000 2020,il,1
Sat May 09 23:53:23 +0000 2020,nj,1
Sat May 09 23:53:23 +0000 2020,mn,1
Sat May 09 23:53:22 +0000 2020,tx,1
Sat May 09 23:53:15 +0000 2020,sc,1
Sat May 09 23:53:08 +0000 2020,ct,-1
Sat May 09 23:53:02 +0000 2020,ne,-1
Sat May 09 23:53:01 +0000 2020,oh,1
Sat May 09 23:52:50 +0000 2020,pa,1
Sat May 09 23:52:46 +0000 2020,fl,-1
Sat May 09 23:52:44 +0000 2020,id,1
Sat May 09 23:52:43 +0000 2020,oh,1
Sat May 09 23:52:38 +0000 2020,az,1
Sat May 09 23:52:34 +0000 2020,nh,-1
Sat May 09 23:52:32 +0000 2020,fl,1
Sat May 09 23:52:29 +0000 2020,pa,-1
Sat May 09 23:52:26 +0000 2020,pa,1
Sat May 09 23:52:24 +0000 2020,pa,1
Sat May 09 23:52:19 +0000 2020,wa,1
Sat May 09 23:52:18 +0000 2020,va,-1
Sat May 09 23:52:13 +0000 2020,ga,-1
Sat May 09 23:52:13 +0000 2020,nm,1
Sat May 09 23:52:09 +0000 2020,fl,1
Sat May 09 23:52:05 +0000 2020,wa,1
Sat May 09 23:52:00 +0000 2020,ok,1
Sat May 09 23:51:58 +0000 2020,co,-1
Sat May 09 23:51:58 +0000 2020,ca,1
Sat May 09 23:51:57 +0000 2020,ak,1
Sat May 09 23:51:55 +0000 2020,nv,-1
Sat May 09 23:51:55 +0000 2020,ct,1
Sat May 09 23:51:55 +0000 2020,ny,1
Sat May 09 23:51:52 +0000 2020,me,1
Sat May 09 23:51:51 +0000 2020,ma,1
Sat May 09 23:51:50 +0000 2020,fl,1
Sat May 09 23:51:41 +0000 2020,tx,-1
Sat May 09 23:51:41 +0000 2020,ca,1
Sat May 09 23:51:37 +0000 2020,ri,-1
Sat May 09 23:51:37 +0000 2020,ca,-1
Sat May 09 23:51:31 +0000 2020,la,-1
Sat May 09 23:51:30 +0000 2020,ca,-1
Sat May 09 23:51:24 +0000 2020,ny,1
Sat May 09 23:51:22 +0000 2020,la,-1
Sat May 09 23:51:19 +0000 2020,nh,-1
Sat May 09 23:51:13 +0000 2020,tn,1
Sat May 09 23:51:13 +0000 2020,tx,1
Sat May 09 23:51:13 +0000 2020,dc,-1
Sat May 09 23:51:08 +0000 2020,tx,1
Sat May 09 23:51:04 +0000 2020,nh,-1
Sat May 09 23:51:02 +0000 2020,mi,-1
Sat May 09 23:50:59 +0000 2020,fl,-1
Sat May 09 23:50:51 +0000 2020,tn,-1
Sat May 09 23:50:48 +0000 2020,nm,1
Sat May 09 23:50:41 +0000 2020,md,-1
Sat May 09 23:50:30 +0000 2020,mn,1
Sat May 09 23:50:29 +0000 2020,ca,-1
Sat May 09 23:50:26 +0000 2020,ca,-1
Sat May 09 23:50:26 +0000 2020,mn,1
Sat May 09 23:50:24 +0000 2020,nh,1
Sat May 09 23:50:23 +0000 2020,sc,1
Sat May 09 23:50:21 +0000 2020,fl,-1
Sat May 09 23:50:20 +0000 2020,ca,1
Sat May 09 23:50:19 +0000 2020,ca,1
Sat May 09 23:50:18 +0000 2020,oh,-1
Sat May 09 23:50:17 +0000 2020,ca,1
Sat May 09 23:50:11 +0000 2020,tx,-1
Sat May 09 23:50:10 +0000 2020,fl,1
Sat May 09 23:50:07 +0000 2020,sc,1
Sat May 09 23:50:07 +0000 2020,ga,1
Sat May 09 23:50:03 +0000 2020,wa,-1
Sat May 09 23:50:01 +0000 2020,ny,-1
