time,state,label
Fri May 08 23:59:58 +0000 2020,sc,-1
Fri May 08 23:59:50 +0000 2020,ny,-1
Fri May 08 23:59:50 +0000 2020,ok,1
Fri May 08 23:59:47 +0000 2020,ca,-1
Fri May 08 23:59:46 +0000 2020,ca,-1
Fri May 08 23:59:46 +0000 2020,pa,1
Fri May 08 23:59:38 +0000 2020,ca,1
Fri May 08 23:59:37 +0000 2020,va,-1
Fri May 08 23:59:35 +0000 2020,fl,-1
Fri May 08 23:59:34 +0000 2020,tx,1
Fri May 08 23:59:32 +0000 2020,ca,-1
Fri May 08 23:59:32 +0000 2020,or,1
Fri May 08 23:59:32 +0000 2020,wi,-1
Fri May 08 23:59:31 +0000 2020,in,1
Fri May 08 23:59:30 +0000 2020,ca,-1
Fri May 08 23:59:26 +0000 2020,nc,-1
Fri May 08 23:59:25 +0000 2020,ca,-1
Fri May 08 23:59:24 +0000 2020,ny,-1
Fri May 08 23:59:22 +0000 2020,ny,-1
Fri May 08 23:59:22 +0000 2020,il,-1
Fri May 08 23:59:16 +0000 2020,il,-1
Fri May 08 23:59:15 +0000 2020,or,-1
Fri May 08 23:59:14 +0000 2020,wa,-1
Fri May 08 23:59:10 +0000 2020,md,-1
Fri May 08 23:59:08 +0000 2020,md,-1
Fri May 08 23:59:06 +0000 2020,nj,-1
Fri May 08 23:59:05 +0000 2020,fl,1
Fri May 08 23:59:04 +0000 2020,fl,1
Fri May 08 23:59:04 +0000 2020,ar,-1
Fri May 08 23:59:03 +0000 2020,ia,-1
Fri May 08 23:59:03 +0000 2020,ga,-1
Fri May 08 23:58:57 +0000 2020,tx,-1
Fri May 08 23:58:55 +0000 2020,az,-1
Fri May 08 23:58:54 +0000 2020,tx,-1
Fri May 08 23:58:47 +0000 2020,oh,1
Fri May 08 23:58:46 +0000 2020,mn,-1
Fri May 08 23:58:42 +0000 2020,fl,1
Fri May 08 23:58:38 +0000 2020,al,-1
Fri May 08 23:58:38 +0000 2020,dc,-1
Fri May 08 23:58:37 +0000 2020,al,1
Fri May 08 23:58:37 +0000 2020,ca,1
Fri May 08 23:58:32 +0000 2020,ga,-1
Fri May 08 23:58:31 +0000 2020,ca,-1
Fri May 08 23:58:30 +0000 2020,pa,-1
Fri May 08 23:58:29 +0000 2020,fl,-1
Fri May 08 23:58:29 +0000 2020,ny,1
Fri May 08 23:58:23 +0000 2020,ga,-1
Fri May 08 23:58:22 +0000 2020,mi,-1
Fri May 08 23:58:18 +0000 2020,wa,-1
Fri May 08 23:58:17 +0000 2020,tx,-1
Fri May 08 23:58:16 +0000 2020,il,-1
Fri May 08 23:58:09 +0000 2020,ky,1
Fri May 08 23:58:06 +0000 2020,ct,-1
Fri May 08 23:58:06 +0000 2020,mt,1
Fri May 08 23:58:05 +0000 2020,fl,1
Fri May 08 23:58:01 +0000 2020,ca,-1
Fri May 08 23:58:01 +0000 2020,tx,-1
Fri May 08 23:57:59 +0000 2020,mi,-1
Fri May 08 23:57:58 +0000 2020,nj,-1
Fri May 08 23:57:58 +0000 2020,ca,1
Fri May 08 23:57:56 +0000 2020,ca,-1
Fri May 08 23:57:56 +0000 2020,mi,-1
Fri May 08 23:57:54 +0000 2020,va,-1
Fri May 08 23:57:49 +0000 2020,fl,-1
Fri May 08 23:57:49 +0000 2020,tx,-1
Fri May 08 23:57:46 +0000 2020,ny,-1
Fri May 08 23:57:43 +0000 2020,nm,1
Fri May 08 23:57:42 +0000 2020,fl,-1
Fri May 08 23:57:39 +0000 2020,mi,-1
Fri May 08 23:57:36 +0000 2020,pa,-1
Fri May 08 23:57:33 +0000 2020,ky,1
Fri May 08 23:57:25 +0000 2020,fl,-1
Fri May 08 23:57:23 +0000 2020,ca,1
Fri May 08 23:57:21 +0000 2020,md,-1
Fri May 08 23:57:18 +0000 2020,nc,1
Fri May 08 23:57:17 +0000 2020,ca,-1
Fri May 08 23:57:17 +0000 2020,nc,1
Fri May 08 23:57:15 +0000 2020,ks,-1
Fri May 08 23:57:14 +0000 2020,co,-1
Fri May 08 23:57:14 +0000 2020,ma,-1
Fri May 08 23:57:13 +0000 2020,ca,1
Fri May 08 23:57:12 +0000 2020,tx,-1
Fri May 08 23:57:09 +0000 2020,ca,1
Fri May 08 23:57:06 +0000 2020,ca,1
Fri May 08 23:57:05 +0000 2020,tx,-1
Fri May 08 23:57:03 +0000 2020,wa,-1
Fri May 08 23:57:02 +0000 2020,ct,1
Fri May 08 23:57:01 +0000 2020,or,1
Fri May 08 23:56:54 +0000 2020,mi,-1
Fri May 08 23:56:51 +0000 2020,ny,-1
Fri May 08 23:56:48 +0000 2020,nv,1
Fri May 08 23:56:44 +0000 2020,ca,-1
Fri May 08 23:56:42 +0000 2020,wa,-1
Fri May 08 23:56:41 +0000 2020,tx,1
Fri May 08 23:56:37 +0000 2020,ny,-1
Fri May 08 23:56:36 +0000 2020,va,-1
Fri May 08 23:56:33 +0000 2020,fl,-1
Fri May 08 23:56:28 +0000 2020,dc,-1
Fri May 08 23:56:27 +0000 2020,ca,1
Fri May 08 23:56:27 +0000 2020,fl,1
Fri May 08 23:56:23 +0000 2020,ca,1
Fri May 08 23:56:19 +0000 2020,mi,-1
Fri May 08 23:56:18 +0000 2020,ca,1
Fri May 08 23:56:17 +0000 2020,va,1
Fri May 08 23:56:16 +0000 2020,co,-1
Fri May 08 23:56:13 +0000 2020,ma,1
Fri May 08 23:56:12 +0000 2020,tx,1
Fri May 08 23:56:10 +0000 2020,ks,1
Fri May 08 23:56:10 +0000 2020,pa,-1
Fri May 08 23:56:09 +0000 2020,co,-1
Fri May 08 23:56:04 +0000 2020,ut,-1
Fri May 08 23:56:03 +0000 2020,wa,1
Fri May 08 23:56:02 +0000 2020,ca,-1
Fri May 08 23:56:00 +0000 2020,mo,1
Fri May 08 23:55:56 +0000 2020,il,-1
Fri May 08 23:55:54 +0000 2020,ms,1
Fri May 08 23:55:53 +0000 2020,fl,-1
Fri May 08 23:55:52 +0000 2020,ia,1
Fri May 08 23:55:43 +0000 2020,ga,-1
Fri May 08 23:55:42 +0000 2020,oh,-1
Fri May 08 23:55:38 +0000 2020,va,1
Fri May 08 23:55:37 +0000 2020,al,1
Fri May 08 23:55:33 +0000 2020,il,-1
Fri May 08 23:55:33 +0000 2020,nj,-1
Fri May 08 23:55:32 +0000 2020,va,-1
Fri May 08 23:55:32 +0000 2020,md,-1
Fri May 08 23:55:30 +0000 2020,tx,-1
Fri May 08 23:55:29 +0000 2020,pa,-1
Fri May 08 23:55:21 +0000 2020,fl,-1
Fri May 08 23:55:14 +0000 2020,ca,1
Fri May 08 23:55:14 +0000 2020,oh,-1
Fri May 08 23:55:13 +0000 2020,oh,-1
Fri May 08 23:55:13 +0000 2020,md,-1
Fri May 08 23:55:12 +0000 2020,co,1
Fri May 08 23:55:12 +0000 2020,tx,-1
Fri May 08 23:55:11 +0000 2020,ca,-1
Fri May 08 23:55:08 +0000 2020,ca,1
Fri May 08 23:55:04 +0000 2020,pa,-1
Fri May 08 23:55:03 +0000 2020,ny,-1
Fri May 08 23:54:59 +0000 2020,va,-1
Fri May 08 23:54:56 +0000 2020,ny,-1
Fri May 08 23:54:55 +0000 2020,az,-1
Fri May 08 23:54:55 +0000 2020,pa,-1
Fri May 08 23:54:53 +0000 2020,nj,1
Fri May 08 23:54:50 +0000 2020,ny,-1
Fri May 08 23:54:48 +0000 2020,oh,-1
Fri May 08 23:54:44 +0000 2020,ca,1
Fri May 08 23:54:38 +0000 2020,nc,-1
Fri May 08 23:54:38 +0000 2020,ga,-1
Fri May 08 23:54:33 +0000 2020,nj,1
Fri May 08 23:54:32 +0000 2020,ca,-1
Fri May 08 23:54:32 +0000 2020,fl,-1
Fri May 08 23:54:32 +0000 2020,ny,-1
Fri May 08 23:54:31 +0000 2020,ga,-1
Fri May 08 23:54:24 +0000 2020,md,-1
Fri May 08 23:54:24 +0000 2020,il,-1
Fri May 08 23:54:17 +0000 2020,ca,1
Fri May 08 23:54:16 +0000 2020,az,-1
Fri May 08 23:54:14 +0000 2020,ca,1
Fri May 08 23:54:10 +0000 2020,ca,-1
Fri May 08 23:54:10 +0000 2020,ma,1
Fri May 08 23:54:09 +0000 2020,ca,1
Fri May 08 23:54:08 +0000 2020,ks,-1
Fri May 08 23:54:06 +0000 2020,az,1
Fri May 08 23:54:05 +0000 2020,ga,-1
Fri May 08 23:54:03 +0000 2020,ca,-1
Fri May 08 23:54:02 +0000 2020,mi,-1
Fri May 08 23:54:01 +0000 2020,ny,1
Fri May 08 23:53:56 +0000 2020,ca,-1
Fri May 08 23:53:54 +0000 2020,pa,1
Fri May 08 23:53:54 +0000 2020,nh,1
Fri May 08 23:53:54 +0000 2020,wi,-1
Fri May 08 23:53:53 +0000 2020,fl,-1
Fri May 08 23:53:53 +0000 2020,fl,1
Fri May 08 23:53:51 +0000 2020,wi,1
Fri May 08 23:53:50 +0000 2020,nm,-1
Fri May 08 23:53:48 +0000 2020,oh,1
Fri May 08 23:53:44 +0000 2020,in,1
Fri May 08 23:53:41 +0000 2020,az,-1
Fri May 08 23:53:39 +0000 2020,ma,-1
Fri May 08 23:53:37 +0000 2020,oh,1
Fri May 08 23:53:37 +0000 2020,ny,1
Fri May 08 23:53:34 +0000 2020,fl,-1
Fri May 08 23:53:29 +0000 2020,pa,-1
Fri May 08 23:53:29 +0000 2020,me,1
Fri May 08 23:53:29 +0000 2020,ma,-1
Fri May 08 23:53:28 +0000 2020,pa,-1
Fri May 08 23:53:26 +0000 2020,ca,-1
Fri May 08 23:53:22 +0000 2020,il,1
Fri May 08 23:53:20 +0000 2020,ca,1
Fri May 08 23:53:20 +0000 2020,ny,-1
Fri May 08 23:53:20 +0000 2020,mn,-1
Fri May 08 23:53:15 +0000 2020,nj,1
Fri May 08 23:53:12 +0000 2020,fl,-1
Fri May 08 23:53:11 +0000 2020,ny,-1
Fri May 08 23:53:09 +0000 2020,nj,-1
Fri May 08 23:53:09 +0000 2020,ga,1
Fri May 08 23:53:06 +0000 2020,ca,-1
Fri May 08 23:53:04 +0000 2020,md,-1
