time,state,label
Tue May 19 23:59:59 +0000 2020,fl,1
Tue May 19 23:59:57 +0000 2020,ny,1
Tue May 19 23:59:55 +0000 2020,fl,1
Tue May 19 23:59:55 +0000 2020,ca,1
Tue May 19 23:59:55 +0000 2020,tx,1
Tue May 19 23:59:54 +0000 2020,ct,-1
Tue May 19 23:59:49 +0000 2020,il,-1
Tue May 19 23:59:46 +0000 2020,ia,1
Tue May 19 23:59:46 +0000 2020,ar,1
Tue May 19 23:59:45 +0000 2020,mi,-1
Tue May 19 23:59:44 +0000 2020,tx,1
Tue May 19 23:59:43 +0000 2020,ca,1
Tue May 19 23:59:40 +0000 2020,il,-1
Tue May 19 23:59:35 +0000 2020,ga,-1
Tue May 19 23:59:34 +0000 2020,il,1
Tue May 19 23:59:28 +0000 2020,az,1
Tue May 19 23:59:27 +0000 2020,tx,1
Tue May 19 23:59:20 +0000 2020,nv,1
Tue May 19 23:59:20 +0000 2020,az,1
Tue May 19 23:59:19 +0000 2020,ca,-1
Tue May 19 23:59:18 +0000 2020,il,-1
Tue May 19 23:59:13 +0000 2020,tx,1
Tue May 19 23:59:13 +0000 2020,tx,1
Tue May 19 23:59:11 +0000 2020,va,1
Tue May 19 23:59:10 +0000 2020,ak,-1
Tue May 19 23:59:07 +0000 2020,tx,1
Tue May 19 23:59:06 +0000 2020,ma,-1
Tue May 19 23:59:05 +0000 2020,mi,1
Tue May 19 23:59:03 +0000 2020,il,1
Tue May 19 23:59:03 +0000 2020,nj,1
Tue May 19 23:59:02 +0000 2020,wi,-1
Tue May 19 23:59:01 +0000 2020,mo,1
Tue May 19 23:59:00 +0000 2020,mi,1
Tue May 19 23:58:59 +0000 2020,pa,1
Tue May 19 23:58:56 +0000 2020,ca,1
Tue May 19 23:58:55 +0000 2020,ct,-1
Tue May 19 23:58:52 +0000 2020,nc,1
Tue May 19 23:58:52 +0000 2020,sc,1
Tue May 19 23:58:51 +0000 2020,nc,1
Tue May 19 23:58:51 +0000 2020,dc,1
Tue May 19 23:58:49 +0000 2020,va,1
Tue May 19 23:58:48 +0000 2020,fl,1
Tue May 19 23:58:48 +0000 2020,ca,1
Tue May 19 23:58:47 +0000 2020,ca,-1
Tue May 19 23:58:45 +0000 2020,mi,-1
Tue May 19 23:58:44 +0000 2020,md,1
Tue May 19 23:58:36 +0000 2020,or,1
Tue May 19 23:58:35 +0000 2020,mn,1
Tue May 19 23:58:35 +0000 2020,nc,1
Tue May 19 23:58:33 +0000 2020,nc,1
Tue May 19 23:58:33 +0000 2020,ca,1
Tue May 19 23:58:33 +0000 2020,ca,1
Tue May 19 23:58:33 +0000 2020,ky,-1
Tue May 19 23:58:31 +0000 2020,il,-1
Tue May 19 23:58:29 +0000 2020,ca,-1
Tue May 19 23:58:28 +0000 2020,oh,-1
Tue May 19 23:58:27 +0000 2020,fl,-1
Tue May 19 23:58:25 +0000 2020,ca,-1
Tue May 19 23:58:24 +0000 2020,co,-1
Tue May 19 23:58:24 +0000 2020,az,1
Tue May 19 23:58:24 +0000 2020,ca,1
Tue May 19 23:58:23 +0000 2020,ky,1
Tue May 19 23:58:22 +0000 2020,fl,1
Tue May 19 23:58:20 +0000 2020,in,1
Tue May 19 23:58:20 +0000 2020,ny,-1
Tue May 19 23:58:15 +0000 2020,va,-1
Tue May 19 23:58:13 +0000 2020,al,-1
Tue May 19 23:58:09 +0000 2020,pa,1
Tue May 19 23:58:09 +0000 2020,ca,-1
Tue May 19 23:58:06 +0000 2020,sc,-1
Tue May 19 23:58:03 +0000 2020,fl,1
Tue May 19 23:58:02 +0000 2020,mi,1
Tue May 19 23:58:00 +0000 2020,ca,-1
Tue May 19 23:58:00 +0000 2020,ct,1
Tue May 19 23:57:59 +0000 2020,pa,1
Tue May 19 23:57:58 +0000 2020,sc,1
Tue May 19 23:57:58 +0000 2020,pa,1
Tue May 19 23:57:51 +0000 2020,fl,1
Tue May 19 23:57:48 +0000 2020,ca,-1
Tue May 19 23:57:47 +0000 2020,tx,1
Tue May 19 23:57:47 +0000 2020,fl,-1
Tue May 19 23:57:46 +0000 2020,fl,-1
Tue May 19 23:57:43 +0000 2020,ca,-1
Tue May 19 23:57:43 +0000 2020,mi,1
Tue May 19 23:57:43 +0000 2020,mi,1
Tue May 19 23:57:39 +0000 2020,ga,1
Tue May 19 23:57:38 +0000 2020,oh,1
