,time,state,label
0,Thu May 07 23:59:57 +0000 2020,az,1
1,Thu May 07 23:59:55 +0000 2020,sc,1
3,Thu May 07 23:59:51 +0000 2020,or,-1
4,Thu May 07 23:59:51 +0000 2020,co,-1
5,Thu May 07 23:59:49 +0000 2020,tn,1
6,Thu May 07 23:59:48 +0000 2020,mi,-1
7,Thu May 07 23:59:46 +0000 2020,ca,-1
8,Thu May 07 23:59:44 +0000 2020,co,-1
9,Thu May 07 23:59:43 +0000 2020,me,-1
11,Thu May 07 23:59:35 +0000 2020,ga,-1
12,Thu May 07 23:59:35 +0000 2020,fl,-1
13,Thu May 07 23:59:34 +0000 2020,ny,-1
14,Thu May 07 23:59:34 +0000 2020,tn,-1
15,Thu May 07 23:59:32 +0000 2020,ca,1
16,Thu May 07 23:59:32 +0000 2020,pa,-1
18,Thu May 07 23:59:28 +0000 2020,nj,-1
19,Thu May 07 23:59:25 +0000 2020,ny,-1
21,Thu May 07 23:59:20 +0000 2020,ga,-1
22,Thu May 07 23:59:19 +0000 2020,va,1
23,Thu May 07 23:59:18 +0000 2020,ny,1
24,Thu May 07 23:59:18 +0000 2020,sc,-1
25,Thu May 07 23:59:17 +0000 2020,co,-1
26,Thu May 07 23:59:16 +0000 2020,va,1
28,Thu May 07 23:59:14 +0000 2020,fl,-1
29,Thu May 07 23:59:14 +0000 2020,fl,-1
30,Thu May 07 23:59:09 +0000 2020,ny,1
31,Thu May 07 23:59:07 +0000 2020,ny,1
32,Thu May 07 23:58:57 +0000 2020,nc,1
33,Thu May 07 23:58:55 +0000 2020,in,1
34,Thu May 07 23:58:55 +0000 2020,ms,-1
35,Thu May 07 23:58:54 +0000 2020,or,-1
37,Thu May 07 23:58:54 +0000 2020,ky,-1
38,Thu May 07 23:58:54 +0000 2020,ny,-1
39,Thu May 07 23:58:54 +0000 2020,ca,-1
40,Thu May 07 23:58:53 +0000 2020,mn,1
41,Thu May 07 23:58:51 +0000 2020,ca,-1
42,Thu May 07 23:58:49 +0000 2020,mi,1
43,Thu May 07 23:58:48 +0000 2020,ga,1
44,Thu May 07 23:58:46 +0000 2020,me,-1
47,Thu May 07 23:58:40 +0000 2020,tx,-1
48,Thu May 07 23:58:37 +0000 2020,pa,1
50,Thu May 07 23:58:36 +0000 2020,ak,-1
51,Thu May 07 23:58:34 +0000 2020,fl,-1
52,Thu May 07 23:58:33 +0000 2020,dc,1
53,Thu May 07 23:58:32 +0000 2020,ca,1
54,Thu May 07 23:58:31 +0000 2020,co,1
55,Thu May 07 23:58:29 +0000 2020,ny,-1
56,Thu May 07 23:58:28 +0000 2020,az,-1
57,Thu May 07 23:58:27 +0000 2020,md,1
58,Thu May 07 23:58:27 +0000 2020,fl,-1
59,Thu May 07 23:58:12 +0000 2020,wy,-1
60,Thu May 07 23:58:09 +0000 2020,tx,1
61,Thu May 07 23:58:09 +0000 2020,ut,-1
62,Thu May 07 23:58:07 +0000 2020,nv,-1
64,Thu May 07 23:58:07 +0000 2020,ga,1
65,Thu May 07 23:58:06 +0000 2020,tx,1
66,Thu May 07 23:58:06 +0000 2020,oh,-1
67,Thu May 07 23:58:05 +0000 2020,dc,-1
68,Thu May 07 23:58:02 +0000 2020,in,-1
69,Thu May 07 23:58:02 +0000 2020,ga,-1
70,Thu May 07 23:58:00 +0000 2020,az,1
72,Thu May 07 23:57:56 +0000 2020,ny,-1
73,Thu May 07 23:57:51 +0000 2020,tx,-1
74,Thu May 07 23:57:45 +0000 2020,mo,-1
75,Thu May 07 23:57:45 +0000 2020,ca,-1
76,Thu May 07 23:57:44 +0000 2020,fl,-1
78,Thu May 07 23:57:43 +0000 2020,or,-1
79,Thu May 07 23:57:40 +0000 2020,ca,-1
80,Thu May 07 23:57:40 +0000 2020,co,-1
81,Thu May 07 23:57:38 +0000 2020,ca,1
82,Thu May 07 23:57:38 +0000 2020,fl,-1
83,Thu May 07 23:57:38 +0000 2020,ca,1
84,Thu May 07 23:57:36 +0000 2020,dc,-1
85,Thu May 07 23:57:35 +0000 2020,in,1
86,Thu May 07 23:57:33 +0000 2020,mo,-1
87,Thu May 07 23:57:32 +0000 2020,nc,1
88,Thu May 07 23:57:32 +0000 2020,nc,-1
89,Thu May 07 23:57:31 +0000 2020,ca,-1
90,Thu May 07 23:57:31 +0000 2020,tx,1
91,Thu May 07 23:57:31 +0000 2020,ca,-1
92,Thu May 07 23:57:27 +0000 2020,mo,1
93,Thu May 07 23:57:27 +0000 2020,ok,1
95,Thu May 07 23:57:24 +0000 2020,ri,1
96,Thu May 07 23:57:23 +0000 2020,tx,-1
97,Thu May 07 23:57:17 +0000 2020,ca,1
98,Thu May 07 23:57:15 +0000 2020,fl,-1
99,Thu May 07 23:57:07 +0000 2020,nv,1
100,Thu May 07 23:57:06 +0000 2020,oh,-1
101,Thu May 07 23:56:58 +0000 2020,il,-1
102,Thu May 07 23:56:56 +0000 2020,nc,1
103,Thu May 07 23:56:55 +0000 2020,ga,-1
104,Thu May 07 23:56:55 +0000 2020,az,1
105,Thu May 07 23:56:52 +0000 2020,fl,-1
106,Thu May 07 23:56:50 +0000 2020,mi,-1
107,Thu May 07 23:56:45 +0000 2020,fl,-1
108,Thu May 07 23:56:44 +0000 2020,fl,-1
109,Thu May 07 23:56:39 +0000 2020,ny,1
110,Thu May 07 23:56:38 +0000 2020,mo,-1
111,Thu May 07 23:56:33 +0000 2020,mo,1
112,Thu May 07 23:56:31 +0000 2020,tx,1
113,Thu May 07 23:56:30 +0000 2020,pa,-1
114,Thu May 07 23:56:26 +0000 2020,ga,-1
115,Thu May 07 23:56:22 +0000 2020,ny,-1
116,Thu May 07 23:56:20 +0000 2020,wa,-1
118,Thu May 07 23:56:17 +0000 2020,hi,-1
119,Thu May 07 23:56:16 +0000 2020,nv,-1
121,Thu May 07 23:56:09 +0000 2020,pa,1
122,Thu May 07 23:56:04 +0000 2020,ca,1
123,Thu May 07 23:56:01 +0000 2020,fl,1
125,Thu May 07 23:56:01 +0000 2020,wa,-1
126,Thu May 07 23:55:59 +0000 2020,ca,1
127,Thu May 07 23:55:56 +0000 2020,ny,-1
128,Thu May 07 23:55:56 +0000 2020,nc,-1
129,Thu May 07 23:55:51 +0000 2020,ga,-1
130,Thu May 07 23:55:49 +0000 2020,va,-1
131,Thu May 07 23:55:48 +0000 2020,fl,-1
132,Thu May 07 23:55:48 +0000 2020,pr,-1
133,Thu May 07 23:55:45 +0000 2020,tx,-1
134,Thu May 07 23:55:43 +0000 2020,oh,-1
135,Thu May 07 23:55:40 +0000 2020,ca,1
136,Thu May 07 23:55:39 +0000 2020,pa,1
138,Thu May 07 23:55:36 +0000 2020,al,-1
139,Thu May 07 23:55:36 +0000 2020,co,-1
