time,state,label
Sun May 24 23:59:59 +0000 2020,ma,1
Sun May 24 23:59:59 +0000 2020,nj,1
Sun May 24 23:59:58 +0000 2020,tx,-1
Sun May 24 23:59:50 +0000 2020,nc,-1
Sun May 24 23:59:37 +0000 2020,dc,-1
Sun May 24 23:59:36 +0000 2020,ok,1
Sun May 24 23:59:36 +0000 2020,oh,1
Sun May 24 23:59:29 +0000 2020,nc,-1
Sun May 24 23:59:23 +0000 2020,ca,-1
Sun May 24 23:59:05 +0000 2020,sc,-1
Sun May 24 23:58:48 +0000 2020,tx,1
Sun May 24 23:58:46 +0000 2020,mi,-1
Sun May 24 23:58:41 +0000 2020,al,-1
Sun May 24 23:58:39 +0000 2020,ca,-1
Sun May 24 23:58:21 +0000 2020,ia,1
Sun May 24 23:58:13 +0000 2020,ca,-1
Sun May 24 23:58:12 +0000 2020,ny,1
Sun May 24 23:58:10 +0000 2020,tx,1
Sun May 24 23:58:07 +0000 2020,pa,1
Sun May 24 23:58:00 +0000 2020,ma,1
Sun May 24 23:57:54 +0000 2020,nc,-1
Sun May 24 23:57:46 +0000 2020,ny,-1
Sun May 24 23:57:46 +0000 2020,ca,-1
Sun May 24 23:57:45 +0000 2020,al,-1
Sun May 24 23:57:34 +0000 2020,wv,-1
Sun May 24 23:57:32 +0000 2020,dc,1
Sun May 24 23:57:23 +0000 2020,oh,-1
Sun May 24 23:57:18 +0000 2020,md,-1
Sun May 24 23:57:11 +0000 2020,ny,-1
Sun May 24 23:57:05 +0000 2020,va,-1
Sun May 24 23:57:04 +0000 2020,wa,-1
Sun May 24 23:56:49 +0000 2020,or,1
Sun May 24 23:56:43 +0000 2020,fl,-1
Sun May 24 23:56:37 +0000 2020,ks,-1
Sun May 24 23:56:36 +0000 2020,mi,1
Sun May 24 23:56:35 +0000 2020,ny,1
Sun May 24 23:56:34 +0000 2020,ny,1
Sun May 24 23:56:28 +0000 2020,ok,-1
Sun May 24 23:56:23 +0000 2020,fl,-1
Sun May 24 23:56:17 +0000 2020,tn,1
Sun May 24 23:56:17 +0000 2020,ma,1
Sun May 24 23:56:16 +0000 2020,al,1
Sun May 24 23:56:00 +0000 2020,dc,1
Sun May 24 23:55:48 +0000 2020,ok,1
Sun May 24 23:55:21 +0000 2020,la,1
Sun May 24 23:55:19 +0000 2020,mn,-1
Sun May 24 23:55:16 +0000 2020,ma,1
Sun May 24 23:55:10 +0000 2020,az,-1
Sun May 24 23:55:03 +0000 2020,az,1
Sun May 24 23:55:02 +0000 2020,ga,1
Sun May 24 23:54:57 +0000 2020,fl,1
Sun May 24 23:54:53 +0000 2020,ca,-1
Sun May 24 23:54:50 +0000 2020,pa,1
Sun May 24 23:54:41 +0000 2020,ca,-1
Sun May 24 23:54:41 +0000 2020,ca,-1
Sun May 24 23:54:40 +0000 2020,ca,1
Sun May 24 23:54:35 +0000 2020,ca,1
Sun May 24 23:54:16 +0000 2020,oh,1
Sun May 24 23:54:15 +0000 2020,nj,-1
Sun May 24 23:54:10 +0000 2020,ct,-1
Sun May 24 23:54:10 +0000 2020,ca,1
Sun May 24 23:53:55 +0000 2020,ca,1
Sun May 24 23:53:52 +0000 2020,ca,-1
Sun May 24 23:53:51 +0000 2020,nc,-1
Sun May 24 23:53:48 +0000 2020,oh,-1
Sun May 24 23:53:39 +0000 2020,wi,-1
Sun May 24 23:53:30 +0000 2020,ga,-1
Sun May 24 23:53:19 +0000 2020,oh,-1
Sun May 24 23:53:16 +0000 2020,al,-1
Sun May 24 23:53:15 +0000 2020,ca,-1
Sun May 24 23:53:04 +0000 2020,nc,1
Sun May 24 23:52:50 +0000 2020,in,-1
Sun May 24 23:52:43 +0000 2020,nc,-1
Sun May 24 23:52:43 +0000 2020,ny,1
Sun May 24 23:52:40 +0000 2020,pr,-1
Sun May 24 23:52:29 +0000 2020,tx,-1
Sun May 24 23:52:24 +0000 2020,nv,-1
Sun May 24 23:52:23 +0000 2020,nc,-1
Sun May 24 23:52:22 +0000 2020,ca,1
Sun May 24 23:52:06 +0000 2020,pa,1
Sun May 24 23:52:00 +0000 2020,ca,1
Sun May 24 23:51:57 +0000 2020,ks,1
Sun May 24 23:51:48 +0000 2020,pa,-1
Sun May 24 23:51:41 +0000 2020,wv,-1
Sun May 24 23:51:36 +0000 2020,ga,-1
Sun May 24 23:51:34 +0000 2020,nm,-1
Sun May 24 23:51:29 +0000 2020,mi,-1
Sun May 24 23:51:25 +0000 2020,ca,1
Sun May 24 23:51:19 +0000 2020,ca,1
Sun May 24 23:51:15 +0000 2020,tn,-1
Sun May 24 23:51:13 +0000 2020,ca,-1
Sun May 24 23:51:11 +0000 2020,ct,-1
Sun May 24 23:51:05 +0000 2020,il,1
Sun May 24 23:51:02 +0000 2020,pa,-1
Sun May 24 23:50:57 +0000 2020,oh,-1
Sun May 24 23:50:56 +0000 2020,ca,-1
Sun May 24 23:50:55 +0000 2020,nj,-1
Sun May 24 23:50:49 +0000 2020,ny,-1
Sun May 24 23:50:46 +0000 2020,oh,-1
Sun May 24 23:50:34 +0000 2020,ny,1
Sun May 24 23:50:23 +0000 2020,nj,-1
Sun May 24 23:50:14 +0000 2020,wa,1
Sun May 24 23:50:11 +0000 2020,ca,-1
Sun May 24 23:50:10 +0000 2020,pa,1
Sun May 24 23:50:05 +0000 2020,il,-1
Sun May 24 23:49:52 +0000 2020,oh,-1
Sun May 24 23:49:46 +0000 2020,nj,1
Sun May 24 23:49:40 +0000 2020,az,-1
Sun May 24 23:49:32 +0000 2020,ny,1
Sun May 24 23:49:20 +0000 2020,wa,-1
Sun May 24 23:49:14 +0000 2020,ny,-1
Sun May 24 23:49:14 +0000 2020,dc,-1
Sun May 24 23:49:08 +0000 2020,pa,-1
Sun May 24 23:49:07 +0000 2020,tx,1
Sun May 24 23:49:04 +0000 2020,az,1
Sun May 24 23:49:01 +0000 2020,fl,-1
Sun May 24 23:48:53 +0000 2020,pa,-1
Sun May 24 23:48:44 +0000 2020,co,-1
Sun May 24 23:48:41 +0000 2020,wa,-1
Sun May 24 23:48:39 +0000 2020,mi,1
Sun May 24 23:48:33 +0000 2020,tx,-1
Sun May 24 23:48:32 +0000 2020,la,-1
Sun May 24 23:48:29 +0000 2020,md,1
Sun May 24 23:48:29 +0000 2020,mo,-1
Sun May 24 23:48:18 +0000 2020,ri,-1
Sun May 24 23:47:55 +0000 2020,nj,1
Sun May 24 23:47:48 +0000 2020,mn,1
Sun May 24 23:47:37 +0000 2020,or,1
Sun May 24 23:47:33 +0000 2020,tx,1
Sun May 24 23:47:31 +0000 2020,ma,1
Sun May 24 23:47:20 +0000 2020,az,-1
Sun May 24 23:47:18 +0000 2020,oh,1
Sun May 24 23:47:15 +0000 2020,ny,1
Sun May 24 23:47:11 +0000 2020,ny,1
Sun May 24 23:47:08 +0000 2020,ne,-1
Sun May 24 23:47:00 +0000 2020,va,1
Sun May 24 23:46:59 +0000 2020,va,-1
Sun May 24 23:46:43 +0000 2020,nm,-1
Sun May 24 23:46:42 +0000 2020,fl,-1
Sun May 24 23:46:40 +0000 2020,co,1
Sun May 24 23:46:28 +0000 2020,ca,-1
Sun May 24 23:46:26 +0000 2020,co,-1
Sun May 24 23:46:21 +0000 2020,ny,1
Sun May 24 23:46:20 +0000 2020,ca,-1
Sun May 24 23:46:19 +0000 2020,co,-1
Sun May 24 23:46:17 +0000 2020,oh,-1
Sun May 24 23:46:12 +0000 2020,ct,1
Sun May 24 23:46:02 +0000 2020,tx,-1
Sun May 24 23:45:56 +0000 2020,pa,1
Sun May 24 23:45:54 +0000 2020,ca,1
Sun May 24 23:45:54 +0000 2020,in,-1
Sun May 24 23:45:51 +0000 2020,md,-1
Sun May 24 23:45:50 +0000 2020,me,-1
Sun May 24 23:45:49 +0000 2020,az,-1
Sun May 24 23:45:42 +0000 2020,ny,-1
Sun May 24 23:45:39 +0000 2020,ny,1
Sun May 24 23:45:39 +0000 2020,oh,-1
Sun May 24 23:45:35 +0000 2020,ak,-1
Sun May 24 23:45:35 +0000 2020,md,-1
Sun May 24 23:45:35 +0000 2020,vt,-1
Sun May 24 23:45:34 +0000 2020,fl,-1
Sun May 24 23:45:26 +0000 2020,tx,-1
Sun May 24 23:45:17 +0000 2020,nj,-1
Sun May 24 23:45:11 +0000 2020,oh,-1
Sun May 24 23:45:11 +0000 2020,la,1
Sun May 24 23:45:11 +0000 2020,il,1
Sun May 24 23:45:04 +0000 2020,co,1
Sun May 24 23:45:01 +0000 2020,ky,-1
Sun May 24 23:44:58 +0000 2020,nj,1
Sun May 24 23:44:58 +0000 2020,co,1
Sun May 24 23:44:57 +0000 2020,va,-1
Sun May 24 23:44:47 +0000 2020,ca,1
Sun May 24 23:44:43 +0000 2020,in,1
Sun May 24 23:44:41 +0000 2020,ca,1
Sun May 24 23:44:38 +0000 2020,tx,1
Sun May 24 23:44:33 +0000 2020,md,1
Sun May 24 23:44:32 +0000 2020,mn,1
Sun May 24 23:44:32 +0000 2020,md,-1
Sun May 24 23:44:22 +0000 2020,nj,1
Sun May 24 23:44:21 +0000 2020,tn,1
Sun May 24 23:44:14 +0000 2020,tn,1
Sun May 24 23:43:46 +0000 2020,md,-1
Sun May 24 23:43:42 +0000 2020,nc,1
Sun May 24 23:43:32 +0000 2020,md,-1
Sun May 24 23:43:18 +0000 2020,fl,1
Sun May 24 23:43:18 +0000 2020,al,1
Sun May 24 23:43:17 +0000 2020,nc,-1
Sun May 24 23:43:16 +0000 2020,ca,1
Sun May 24 23:43:15 +0000 2020,nm,-1
Sun May 24 23:43:00 +0000 2020,tx,-1
Sun May 24 23:42:54 +0000 2020,il,-1
Sun May 24 23:42:50 +0000 2020,la,1
Sun May 24 23:42:49 +0000 2020,ga,-1
Sun May 24 23:42:43 +0000 2020,ny,-1
Sun May 24 23:42:42 +0000 2020,pa,-1
Sun May 24 23:42:38 +0000 2020,fl,-1
Sun May 24 23:42:37 +0000 2020,mi,1
Sun May 24 23:42:37 +0000 2020,mn,-1
Sun May 24 23:42:32 +0000 2020,nv,1
Sun May 24 23:42:17 +0000 2020,ca,-1
Sun May 24 23:42:08 +0000 2020,ny,-1
Sun May 24 23:41:59 +0000 2020,fl,1
Sun May 24 23:41:58 +0000 2020,fl,-1
Sun May 24 23:41:58 +0000 2020,md,-1
Sun May 24 23:41:58 +0000 2020,ny,1
Sun May 24 23:41:57 +0000 2020,co,-1
Sun May 24 23:41:49 +0000 2020,ar,-1
Sun May 24 23:41:43 +0000 2020,id,-1
Sun May 24 23:41:37 +0000 2020,mi,1
Sun May 24 23:41:36 +0000 2020,nj,1
Sun May 24 23:41:26 +0000 2020,ca,1
Sun May 24 23:41:26 +0000 2020,tx,-1
Sun May 24 23:41:19 +0000 2020,nm,-1
Sun May 24 23:41:14 +0000 2020,or,1
Sun May 24 23:41:04 +0000 2020,ma,-1
Sun May 24 23:40:59 +0000 2020,il,1
Sun May 24 23:40:56 +0000 2020,nj,-1
Sun May 24 23:40:53 +0000 2020,fl,1
Sun May 24 23:40:52 +0000 2020,pa,-1
Sun May 24 23:40:37 +0000 2020,il,-1
Sun May 24 23:40:33 +0000 2020,tx,-1
Sun May 24 23:40:22 +0000 2020,mi,-1
Sun May 24 23:40:14 +0000 2020,tx,-1
Sun May 24 23:40:11 +0000 2020,va,-1
Sun May 24 23:40:06 +0000 2020,ny,-1
Sun May 24 23:40:04 +0000 2020,nm,1
Sun May 24 23:40:00 +0000 2020,ca,1
Sun May 24 23:39:59 +0000 2020,ny,1
Sun May 24 23:39:58 +0000 2020,nj,-1
Sun May 24 23:39:52 +0000 2020,ny,1
Sun May 24 23:39:47 +0000 2020,tn,-1
Sun May 24 23:39:45 +0000 2020,ny,1
Sun May 24 23:39:36 +0000 2020,ma,-1
Sun May 24 23:39:27 +0000 2020,ca,1
Sun May 24 23:39:26 +0000 2020,ca,1
Sun May 24 23:39:21 +0000 2020,oh,-1
Sun May 24 23:39:18 +0000 2020,in,-1
Sun May 24 23:39:09 +0000 2020,pa,1
Sun May 24 23:39:06 +0000 2020,fl,-1
Sun May 24 23:39:03 +0000 2020,il,-1
Sun May 24 23:39:00 +0000 2020,ca,1
Sun May 24 23:38:58 +0000 2020,ca,-1
Sun May 24 23:38:53 +0000 2020,mn,-1
Sun May 24 23:38:49 +0000 2020,oh,1
Sun May 24 23:38:31 +0000 2020,wa,1
Sun May 24 23:38:10 +0000 2020,fl,-1
Sun May 24 23:37:58 +0000 2020,ut,-1
Sun May 24 23:37:51 +0000 2020,tx,1
Sun May 24 23:37:49 +0000 2020,oh,1
Sun May 24 23:37:49 +0000 2020,fl,1
Sun May 24 23:37:43 +0000 2020,tx,-1
Sun May 24 23:37:42 +0000 2020,az,1
Sun May 24 23:37:36 +0000 2020,mt,-1
Sun May 24 23:37:36 +0000 2020,nh,-1
Sun May 24 23:37:27 +0000 2020,fl,1
Sun May 24 23:37:26 +0000 2020,tn,-1
Sun May 24 23:37:15 +0000 2020,pa,1
Sun May 24 23:37:11 +0000 2020,nm,1
Sun May 24 23:37:10 +0000 2020,fl,1
Sun May 24 23:37:05 +0000 2020,or,1
Sun May 24 23:37:04 +0000 2020,oh,1
Sun May 24 23:37:03 +0000 2020,fl,-1
Sun May 24 23:37:00 +0000 2020,fl,-1
Sun May 24 23:36:40 +0000 2020,oh,-1
Sun May 24 23:36:36 +0000 2020,ks,-1
Sun May 24 23:36:31 +0000 2020,mn,1
Sun May 24 23:36:31 +0000 2020,il,1
Sun May 24 23:36:31 +0000 2020,ne,-1
Sun May 24 23:36:27 +0000 2020,ca,1
Sun May 24 23:36:20 +0000 2020,ak,-1
Sun May 24 23:36:20 +0000 2020,ma,1
Sun May 24 23:36:19 +0000 2020,nm,1
Sun May 24 23:36:16 +0000 2020,fl,-1
Sun May 24 23:36:15 +0000 2020,az,-1
Sun May 24 23:36:11 +0000 2020,nv,1
Sun May 24 23:35:57 +0000 2020,dc,-1
Sun May 24 23:35:50 +0000 2020,nm,1
Sun May 24 23:35:40 +0000 2020,fl,1
Sun May 24 23:35:38 +0000 2020,pa,1
Sun May 24 23:35:28 +0000 2020,mi,-1
Sun May 24 23:35:25 +0000 2020,nv,1
Sun May 24 23:35:22 +0000 2020,fl,-1
Sun May 24 23:35:22 +0000 2020,ca,-1
Sun May 24 23:35:15 +0000 2020,ny,1
Sun May 24 23:35:12 +0000 2020,ny,1
Sun May 24 23:35:11 +0000 2020,il,1
Sun May 24 23:35:07 +0000 2020,ny,1
Sun May 24 23:35:02 +0000 2020,ma,-1
Sun May 24 23:34:55 +0000 2020,ca,1
Sun May 24 23:34:43 +0000 2020,va,1
Sun May 24 23:34:41 +0000 2020,ca,-1
Sun May 24 23:34:29 +0000 2020,ny,-1
Sun May 24 23:34:27 +0000 2020,il,1
Sun May 24 23:34:24 +0000 2020,il,-1
Sun May 24 23:34:13 +0000 2020,tn,-1
Sun May 24 23:34:13 +0000 2020,ny,1
Sun May 24 23:34:01 +0000 2020,va,-1
Sun May 24 23:34:00 +0000 2020,pa,-1
Sun May 24 23:33:59 +0000 2020,tx,-1
Sun May 24 23:33:55 +0000 2020,co,-1
Sun May 24 23:33:52 +0000 2020,ny,1
Sun May 24 23:33:41 +0000 2020,nc,-1
Sun May 24 23:33:30 +0000 2020,il,1
Sun May 24 23:33:28 +0000 2020,al,1
Sun May 24 23:33:27 +0000 2020,oh,-1
Sun May 24 23:33:23 +0000 2020,ny,1
Sun May 24 23:33:18 +0000 2020,oh,1
Sun May 24 23:33:17 +0000 2020,de,-1
Sun May 24 23:33:13 +0000 2020,la,1
