,time,state,label
0,Wed May 13 23:59:57 +0000 2020,oh,-1
1,Wed May 13 23:59:55 +0000 2020,fl,1
2,Wed May 13 23:59:52 +0000 2020,or,1
3,Wed May 13 23:59:51 +0000 2020,mo,1
4,Wed May 13 23:59:50 +0000 2020,mo,-1
6,Wed May 13 23:59:45 +0000 2020,dc,1
8,Wed May 13 23:59:35 +0000 2020,me,-1
9,Wed May 13 23:59:32 +0000 2020,ca,1
10,Wed May 13 23:59:32 +0000 2020,ca,1
11,Wed May 13 23:59:32 +0000 2020,ca,1
12,Wed May 13 23:59:32 +0000 2020,ca,1
13,Wed May 13 23:59:31 +0000 2020,nv,1
14,Wed May 13 23:59:23 +0000 2020,mn,1
15,Wed May 13 23:59:23 +0000 2020,mi,1
16,Wed May 13 23:59:22 +0000 2020,al,1
17,Wed May 13 23:59:13 +0000 2020,tx,-1
18,Wed May 13 23:59:08 +0000 2020,ct,-1
19,Wed May 13 23:59:07 +0000 2020,ca,1
20,Wed May 13 23:59:06 +0000 2020,tn,1
21,Wed May 13 23:59:05 +0000 2020,ky,1
22,Wed May 13 23:59:05 +0000 2020,ny,-1
24,Wed May 13 23:59:05 +0000 2020,nm,1
25,Wed May 13 23:58:59 +0000 2020,md,1
26,Wed May 13 23:58:58 +0000 2020,wi,1
27,Wed May 13 23:58:54 +0000 2020,ca,1
29,Wed May 13 23:58:48 +0000 2020,ca,1
30,Wed May 13 23:58:45 +0000 2020,tx,1
31,Wed May 13 23:58:44 +0000 2020,md,-1
32,Wed May 13 23:58:41 +0000 2020,ga,-1
34,Wed May 13 23:58:31 +0000 2020,mt,1
35,Wed May 13 23:58:29 +0000 2020,ny,1
36,Wed May 13 23:58:29 +0000 2020,in,1
39,Wed May 13 23:58:28 +0000 2020,va,1
40,Wed May 13 23:58:25 +0000 2020,la,-1
41,Wed May 13 23:58:24 +0000 2020,md,1
42,Wed May 13 23:58:24 +0000 2020,pa,1
43,Wed May 13 23:58:23 +0000 2020,sd,-1
44,Wed May 13 23:58:22 +0000 2020,fl,-1
45,Wed May 13 23:58:21 +0000 2020,pa,-1
46,Wed May 13 23:58:20 +0000 2020,oh,1
47,Wed May 13 23:58:19 +0000 2020,il,1
48,Wed May 13 23:58:19 +0000 2020,nj,1
49,Wed May 13 23:58:19 +0000 2020,de,1
50,Wed May 13 23:58:19 +0000 2020,ms,1
51,Wed May 13 23:58:18 +0000 2020,tn,1
52,Wed May 13 23:58:16 +0000 2020,wi,1
53,Wed May 13 23:58:14 +0000 2020,tx,1
54,Wed May 13 23:58:13 +0000 2020,or,1
55,Wed May 13 23:58:13 +0000 2020,ma,-1
56,Wed May 13 23:58:09 +0000 2020,nc,1
57,Wed May 13 23:58:05 +0000 2020,az,1
58,Wed May 13 23:58:03 +0000 2020,tx,1
59,Wed May 13 23:58:02 +0000 2020,me,1
60,Wed May 13 23:58:02 +0000 2020,co,-1
61,Wed May 13 23:58:01 +0000 2020,ny,-1
64,Wed May 13 23:57:58 +0000 2020,fl,-1
65,Wed May 13 23:57:57 +0000 2020,az,1
66,Wed May 13 23:57:54 +0000 2020,wi,1
67,Wed May 13 23:57:53 +0000 2020,tx,1
70,Wed May 13 23:57:52 +0000 2020,fl,-1
71,Wed May 13 23:57:50 +0000 2020,il,1
