,time,state,label
1,Sat May 09 23:59:56 +0000 2020,ma,1
2,Sat May 09 23:59:55 +0000 2020,ms,-1
3,Sat May 09 23:59:54 +0000 2020,tx,1
4,Sat May 09 23:59:54 +0000 2020,mo,1
5,Sat May 09 23:59:51 +0000 2020,oh,1
6,Sat May 09 23:59:50 +0000 2020,wa,-1
7,Sat May 09 23:59:49 +0000 2020,mi,1
10,Sat May 09 23:59:32 +0000 2020,tx,1
11,Sat May 09 23:59:32 +0000 2020,ct,1
12,Sat May 09 23:59:31 +0000 2020,fl,1
13,Sat May 09 23:59:19 +0000 2020,oh,-1
14,Sat May 09 23:59:17 +0000 2020,ma,-1
15,Sat May 09 23:59:08 +0000 2020,tx,1
16,Sat May 09 23:59:05 +0000 2020,tn,1
18,Sat May 09 23:59:03 +0000 2020,de,-1
20,Sat May 09 23:59:02 +0000 2020,ca,1
21,Sat May 09 23:59:02 +0000 2020,pa,1
22,Sat May 09 23:59:02 +0000 2020,ca,-1
23,Sat May 09 23:59:02 +0000 2020,va,1
24,Sat May 09 23:59:00 +0000 2020,ca,-1
25,Sat May 09 23:58:52 +0000 2020,wa,1
26,Sat May 09 23:58:51 +0000 2020,ks,1
27,Sat May 09 23:58:49 +0000 2020,ca,1
28,Sat May 09 23:58:48 +0000 2020,nj,-1
29,Sat May 09 23:58:45 +0000 2020,ca,1
30,Sat May 09 23:58:44 +0000 2020,wi,1
31,Sat May 09 23:58:42 +0000 2020,md,-1
33,Sat May 09 23:58:39 +0000 2020,tx,-1
34,Sat May 09 23:58:34 +0000 2020,ca,1
35,Sat May 09 23:58:33 +0000 2020,wv,1
36,Sat May 09 23:58:32 +0000 2020,ca,1
37,Sat May 09 23:58:32 +0000 2020,mn,1
39,Sat May 09 23:58:31 +0000 2020,ca,-1
40,Sat May 09 23:58:30 +0000 2020,fl,1
41,Sat May 09 23:58:26 +0000 2020,md,-1
42,Sat May 09 23:58:25 +0000 2020,ca,1
44,Sat May 09 23:58:24 +0000 2020,pa,-1
45,Sat May 09 23:58:23 +0000 2020,md,-1
47,Sat May 09 23:58:16 +0000 2020,fl,1
48,Sat May 09 23:58:13 +0000 2020,ky,1
49,Sat May 09 23:58:11 +0000 2020,ca,-1
50,Sat May 09 23:58:09 +0000 2020,fl,-1
51,Sat May 09 23:58:07 +0000 2020,ca,-1
52,Sat May 09 23:58:06 +0000 2020,ca,1
53,Sat May 09 23:58:03 +0000 2020,ny,1
54,Sat May 09 23:58:02 +0000 2020,nj,1
55,Sat May 09 23:58:02 +0000 2020,ny,1
57,Sat May 09 23:58:01 +0000 2020,ny,1
58,Sat May 09 23:58:00 +0000 2020,wi,-1
59,Sat May 09 23:57:58 +0000 2020,oh,1
60,Sat May 09 23:57:58 +0000 2020,mi,-1
61,Sat May 09 23:57:56 +0000 2020,ca,1
62,Sat May 09 23:57:54 +0000 2020,pa,-1
63,Sat May 09 23:57:51 +0000 2020,nc,1
64,Sat May 09 23:57:49 +0000 2020,oh,1
65,Sat May 09 23:57:49 +0000 2020,ca,1
66,Sat May 09 23:57:46 +0000 2020,ut,1
67,Sat May 09 23:57:44 +0000 2020,il,-1
69,Sat May 09 23:57:41 +0000 2020,ca,1
70,Sat May 09 23:57:40 +0000 2020,az,1
71,Sat May 09 23:57:36 +0000 2020,az,1
72,Sat May 09 23:57:35 +0000 2020,fl,-1
73,Sat May 09 23:57:32 +0000 2020,in,-1
74,Sat May 09 23:57:31 +0000 2020,il,-1
75,Sat May 09 23:57:28 +0000 2020,ri,1
77,Sat May 09 23:57:17 +0000 2020,ga,1
78,Sat May 09 23:57:15 +0000 2020,ny,1
79,Sat May 09 23:57:09 +0000 2020,ca,-1
80,Sat May 09 23:57:08 +0000 2020,wa,-1
81,Sat May 09 23:57:07 +0000 2020,ca,-1
82,Sat May 09 23:57:05 +0000 2020,tx,1
83,Sat May 09 23:57:04 +0000 2020,sc,1
84,Sat May 09 23:57:00 +0000 2020,pa,1
85,Sat May 09 23:56:55 +0000 2020,ca,1
86,Sat May 09 23:56:54 +0000 2020,ks,1
87,Sat May 09 23:56:54 +0000 2020,pa,-1
88,Sat May 09 23:56:51 +0000 2020,ca,1
90,Sat May 09 23:56:40 +0000 2020,md,-1
91,Sat May 09 23:56:39 +0000 2020,fl,1
92,Sat May 09 23:56:39 +0000 2020,or,1
93,Sat May 09 23:56:31 +0000 2020,va,-1
94,Sat May 09 23:56:26 +0000 2020,tn,-1
95,Sat May 09 23:56:26 +0000 2020,fl,1
96,Sat May 09 23:56:25 +0000 2020,ny,-1
97,Sat May 09 23:56:24 +0000 2020,ga,1
98,Sat May 09 23:56:22 +0000 2020,la,1
99,Sat May 09 23:56:19 +0000 2020,ny,1
100,Sat May 09 23:56:19 +0000 2020,ma,1
101,Sat May 09 23:56:18 +0000 2020,or,1
102,Sat May 09 23:56:15 +0000 2020,tx,1
103,Sat May 09 23:56:14 +0000 2020,ca,1
104,Sat May 09 23:56:12 +0000 2020,fl,1
105,Sat May 09 23:56:09 +0000 2020,ga,1
106,Sat May 09 23:56:09 +0000 2020,ca,1
107,Sat May 09 23:56:05 +0000 2020,pa,1
108,Sat May 09 23:56:00 +0000 2020,tx,1
109,Sat May 09 23:55:56 +0000 2020,ma,1
110,Sat May 09 23:55:56 +0000 2020,sd,1
111,Sat May 09 23:55:54 +0000 2020,ca,1
112,Sat May 09 23:55:53 +0000 2020,ga,-1
113,Sat May 09 23:55:52 +0000 2020,fl,1
114,Sat May 09 23:55:51 +0000 2020,il,-1
115,Sat May 09 23:55:49 +0000 2020,tx,-1
117,Sat May 09 23:55:45 +0000 2020,il,1
118,Sat May 09 23:55:44 +0000 2020,oh,1
119,Sat May 09 23:55:43 +0000 2020,ca,1
120,Sat May 09 23:55:37 +0000 2020,tn,1
121,Sat May 09 23:55:28 +0000 2020,fl,1
122,Sat May 09 23:55:27 +0000 2020,il,1
123,Sat May 09 23:55:17 +0000 2020,tn,-1
125,Sat May 09 23:55:13 +0000 2020,ca,1
126,Sat May 09 23:55:13 +0000 2020,il,1
127,Sat May 09 23:55:12 +0000 2020,fl,1
128,Sat May 09 23:55:11 +0000 2020,fl,1
129,Sat May 09 23:55:08 +0000 2020,pa,1
130,Sat May 09 23:55:03 +0000 2020,ca,-1
131,Sat May 09 23:55:02 +0000 2020,ne,1
132,Sat May 09 23:55:01 +0000 2020,fl,1
133,Sat May 09 23:54:59 +0000 2020,in,1
134,Sat May 09 23:54:56 +0000 2020,dc,-1
135,Sat May 09 23:54:56 +0000 2020,va,1
136,Sat May 09 23:54:51 +0000 2020,tx,1
137,Sat May 09 23:54:48 +0000 2020,tx,-1
138,Sat May 09 23:54:48 +0000 2020,ca,1
139,Sat May 09 23:54:46 +0000 2020,ca,-1
140,Sat May 09 23:54:45 +0000 2020,ma,1
141,Sat May 09 23:54:44 +0000 2020,tx,1
142,Sat May 09 23:54:34 +0000 2020,pa,1
143,Sat May 09 23:54:30 +0000 2020,nc,1
144,Sat May 09 23:54:29 +0000 2020,tx,-1
145,Sat May 09 23:54:28 +0000 2020,mo,-1
146,Sat May 09 23:54:27 +0000 2020,fl,1
147,Sat May 09 23:54:25 +0000 2020,ca,1
148,Sat May 09 23:54:24 +0000 2020,az,1
149,Sat May 09 23:54:17 +0000 2020,nc,1
150,Sat May 09 23:54:14 +0000 2020,id,1
151,Sat May 09 23:54:12 +0000 2020,ca,1
152,Sat May 09 23:54:11 +0000 2020,la,-1
153,Sat May 09 23:54:08 +0000 2020,ut,1
155,Sat May 09 23:54:04 +0000 2020,nc,1
156,Sat May 09 23:54:00 +0000 2020,ny,1
157,Sat May 09 23:53:58 +0000 2020,ny,1
158,Sat May 09 23:53:57 +0000 2020,ca,-1
159,Sat May 09 23:53:56 +0000 2020,co,-1
160,Sat May 09 23:53:51 +0000 2020,nc,1
161,Sat May 09 23:53:48 +0000 2020,nm,-1
163,Sat May 09 23:53:45 +0000 2020,ga,1
164,Sat May 09 23:53:45 +0000 2020,ca,1
165,Sat May 09 23:53:43 +0000 2020,ca,-1
166,Sat May 09 23:53:43 +0000 2020,or,-1
167,Sat May 09 23:53:43 +0000 2020,ca,1
168,Sat May 09 23:53:42 +0000 2020,tx,1
170,Sat May 09 23:53:34 +0000 2020,nv,1
171,Sat May 09 23:53:32 +0000 2020,wi,-1
174,Sat May 09 23:53:24 +0000 2020,il,1
175,Sat May 09 23:53:23 +0000 2020,nj,1
176,Sat May 09 23:53:23 +0000 2020,mn,1
177,Sat May 09 23:53:22 +0000 2020,tx,1
179,Sat May 09 23:53:15 +0000 2020,sc,1
181,Sat May 09 23:53:08 +0000 2020,ct,-1
182,Sat May 09 23:53:02 +0000 2020,ne,-1
184,Sat May 09 23:53:01 +0000 2020,oh,1
187,Sat May 09 23:52:50 +0000 2020,pa,1
188,Sat May 09 23:52:46 +0000 2020,fl,-1
189,Sat May 09 23:52:44 +0000 2020,id,1
190,Sat May 09 23:52:43 +0000 2020,oh,1
192,Sat May 09 23:52:38 +0000 2020,az,1
193,Sat May 09 23:52:34 +0000 2020,nh,-1
194,Sat May 09 23:52:32 +0000 2020,fl,1
195,Sat May 09 23:52:29 +0000 2020,pa,-1
196,Sat May 09 23:52:26 +0000 2020,pa,1
197,Sat May 09 23:52:24 +0000 2020,pa,1
198,Sat May 09 23:52:19 +0000 2020,wa,1
199,Sat May 09 23:52:18 +0000 2020,va,-1
200,Sat May 09 23:52:13 +0000 2020,ga,-1
201,Sat May 09 23:52:13 +0000 2020,nm,1
202,Sat May 09 23:52:09 +0000 2020,fl,1
203,Sat May 09 23:52:05 +0000 2020,wa,1
204,Sat May 09 23:52:00 +0000 2020,ok,1
205,Sat May 09 23:51:58 +0000 2020,co,-1
206,Sat May 09 23:51:58 +0000 2020,ca,1
207,Sat May 09 23:51:57 +0000 2020,ak,1
208,Sat May 09 23:51:55 +0000 2020,nv,-1
209,Sat May 09 23:51:55 +0000 2020,ct,1
210,Sat May 09 23:51:55 +0000 2020,ny,1
211,Sat May 09 23:51:52 +0000 2020,me,1
212,Sat May 09 23:51:51 +0000 2020,ma,1
213,Sat May 09 23:51:50 +0000 2020,fl,1
214,Sat May 09 23:51:41 +0000 2020,tx,-1
215,Sat May 09 23:51:41 +0000 2020,ca,1
216,Sat May 09 23:51:37 +0000 2020,ri,-1
217,Sat May 09 23:51:37 +0000 2020,ca,-1
218,Sat May 09 23:51:31 +0000 2020,la,-1
219,Sat May 09 23:51:30 +0000 2020,ca,-1
221,Sat May 09 23:51:24 +0000 2020,ny,1
222,Sat May 09 23:51:22 +0000 2020,la,-1
223,Sat May 09 23:51:19 +0000 2020,nh,-1
