time,state,label
Wed May 06 23:55:35 +0000 2020,va,1
Wed May 06 23:55:31 +0000 2020,ky,-1
Wed May 06 23:55:31 +0000 2020,co,1
Wed May 06 23:55:26 +0000 2020,oh,-1
Wed May 06 23:55:26 +0000 2020,ny,1
Wed May 06 23:55:24 +0000 2020,pa,1
Wed May 06 23:55:24 +0000 2020,nj,1
Wed May 06 23:55:24 +0000 2020,wi,-1
Wed May 06 23:55:23 +0000 2020,ok,-1
Wed May 06 23:55:22 +0000 2020,pa,-1
Wed May 06 23:55:22 +0000 2020,fl,1
Wed May 06 23:55:21 +0000 2020,in,-1
Wed May 06 23:55:20 +0000 2020,pa,1
Wed May 06 23:55:20 +0000 2020,az,-1
Wed May 06 23:55:15 +0000 2020,nc,-1
Wed May 06 23:55:12 +0000 2020,nj,-1
Wed May 06 23:55:06 +0000 2020,ma,1
Wed May 06 23:55:05 +0000 2020,az,1
Wed May 06 23:55:04 +0000 2020,mi,-1
Wed May 06 23:55:03 +0000 2020,nm,1
Wed May 06 23:55:00 +0000 2020,wi,-1
Wed May 06 23:55:00 +0000 2020,sc,1
Wed May 06 23:54:52 +0000 2020,az,1
Wed May 06 23:54:48 +0000 2020,nc,-1
Wed May 06 23:54:47 +0000 2020,nc,-1
Wed May 06 23:54:40 +0000 2020,or,1
Wed May 06 23:54:39 +0000 2020,ca,1
Wed May 06 23:54:39 +0000 2020,ok,-1
Wed May 06 23:54:37 +0000 2020,wi,-1
Wed May 06 23:54:35 +0000 2020,wa,1
Wed May 06 23:54:27 +0000 2020,ny,-1
Wed May 06 23:54:27 +0000 2020,ny,-1
Wed May 06 23:54:26 +0000 2020,ky,-1
Wed May 06 23:54:16 +0000 2020,ca,1
Wed May 06 23:54:16 +0000 2020,ny,-1
Wed May 06 23:54:10 +0000 2020,tx,-1
Wed May 06 23:54:09 +0000 2020,ny,1
Wed May 06 23:54:08 +0000 2020,oh,-1
Wed May 06 23:54:05 +0000 2020,il,1
Wed May 06 23:54:01 +0000 2020,wa,-1
Wed May 06 23:54:01 +0000 2020,co,-1
Wed May 06 23:53:59 +0000 2020,tx,1
Wed May 06 23:53:59 +0000 2020,mo,1
Wed May 06 23:53:51 +0000 2020,mn,1
Wed May 06 23:53:51 +0000 2020,fl,-1
Wed May 06 23:53:50 +0000 2020,tx,-1
Wed May 06 23:53:49 +0000 2020,wi,-1
Wed May 06 23:53:45 +0000 2020,pa,1
Wed May 06 23:53:43 +0000 2020,ca,1
Wed May 06 23:53:40 +0000 2020,ca,-1
Wed May 06 23:53:36 +0000 2020,nc,-1
Wed May 06 23:53:34 +0000 2020,az,1
Wed May 06 23:53:32 +0000 2020,co,-1
Wed May 06 23:53:31 +0000 2020,nj,-1
Wed May 06 23:53:30 +0000 2020,nc,1
Wed May 06 23:53:27 +0000 2020,de,1
Wed May 06 23:53:27 +0000 2020,ca,-1
Wed May 06 23:53:14 +0000 2020,tx,-1
Wed May 06 23:53:08 +0000 2020,nc,1
Wed May 06 23:53:06 +0000 2020,pa,-1
Wed May 06 23:53:03 +0000 2020,il,-1
Wed May 06 23:53:02 +0000 2020,fl,-1
Wed May 06 23:53:00 +0000 2020,ms,1
Wed May 06 23:52:58 +0000 2020,tx,1
Wed May 06 23:52:58 +0000 2020,dc,1
Wed May 06 23:52:49 +0000 2020,sc,1
Wed May 06 23:52:47 +0000 2020,ca,-1
Wed May 06 23:52:47 +0000 2020,az,-1
Wed May 06 23:52:43 +0000 2020,co,1
Wed May 06 23:52:42 +0000 2020,ma,-1
Wed May 06 23:52:37 +0000 2020,fl,-1
Wed May 06 23:52:32 +0000 2020,ca,1
Wed May 06 23:52:28 +0000 2020,ca,1
Wed May 06 23:52:28 +0000 2020,ca,-1
Wed May 06 23:52:25 +0000 2020,la,-1
Wed May 06 23:52:23 +0000 2020,pa,1
Wed May 06 23:52:21 +0000 2020,nm,-1
Wed May 06 23:52:21 +0000 2020,sc,1
Wed May 06 23:52:21 +0000 2020,pa,-1
Wed May 06 23:52:17 +0000 2020,pa,-1
Wed May 06 23:52:17 +0000 2020,tn,1
Wed May 06 23:52:15 +0000 2020,nm,-1
Wed May 06 23:52:13 +0000 2020,pa,-1
Wed May 06 23:52:12 +0000 2020,oh,-1
Wed May 06 23:52:12 +0000 2020,ky,-1
Wed May 06 23:52:11 +0000 2020,tx,1
Wed May 06 23:52:08 +0000 2020,ca,1
Wed May 06 23:52:06 +0000 2020,ny,1
Wed May 06 23:52:05 +0000 2020,oh,1
Wed May 06 23:52:05 +0000 2020,md,-1
Wed May 06 23:52:03 +0000 2020,co,1
Wed May 06 23:52:01 +0000 2020,la,-1
Wed May 06 23:52:01 +0000 2020,wi,-1
Wed May 06 23:51:59 +0000 2020,pa,-1
Wed May 06 23:51:58 +0000 2020,mi,-1
Wed May 06 23:51:54 +0000 2020,tx,-1
Wed May 06 23:51:54 +0000 2020,ca,-1
Wed May 06 23:51:54 +0000 2020,nc,-1
Wed May 06 23:51:47 +0000 2020,al,-1
Wed May 06 23:51:46 +0000 2020,tx,1
Wed May 06 23:51:45 +0000 2020,ca,1
Wed May 06 23:51:43 +0000 2020,ct,1
Wed May 06 23:51:37 +0000 2020,ca,-1
Wed May 06 23:51:36 +0000 2020,al,1
Wed May 06 23:51:31 +0000 2020,ca,1
Wed May 06 23:51:17 +0000 2020,mo,-1
Wed May 06 23:51:16 +0000 2020,ca,-1
Wed May 06 23:51:16 +0000 2020,ny,-1
Wed May 06 23:51:10 +0000 2020,fl,1
Wed May 06 23:51:07 +0000 2020,tx,1
Wed May 06 23:51:07 +0000 2020,mi,-1
Wed May 06 23:51:06 +0000 2020,ca,-1
Wed May 06 23:51:04 +0000 2020,ny,1
Wed May 06 23:51:01 +0000 2020,fl,1
Wed May 06 23:50:58 +0000 2020,ny,-1
Wed May 06 23:50:57 +0000 2020,al,-1
Wed May 06 23:50:55 +0000 2020,ca,1
Wed May 06 23:50:45 +0000 2020,ca,1
Wed May 06 23:50:42 +0000 2020,la,-1
Wed May 06 23:50:40 +0000 2020,pr,-1
Wed May 06 23:50:37 +0000 2020,tx,-1
Wed May 06 23:50:33 +0000 2020,wy,-1
Wed May 06 23:50:33 +0000 2020,va,-1
Wed May 06 23:50:32 +0000 2020,fl,-1
Wed May 06 23:50:29 +0000 2020,nc,1
Wed May 06 23:50:25 +0000 2020,nm,-1
Wed May 06 23:50:17 +0000 2020,ca,-1
Wed May 06 23:50:14 +0000 2020,fl,-1
Wed May 06 23:50:13 +0000 2020,mo,-1
Wed May 06 23:50:13 +0000 2020,mi,1
Wed May 06 23:50:11 +0000 2020,nj,1
Wed May 06 23:50:11 +0000 2020,fl,1
Wed May 06 23:50:10 +0000 2020,ky,-1
Wed May 06 23:50:06 +0000 2020,mi,1
Wed May 06 23:49:57 +0000 2020,ca,-1
Wed May 06 23:49:56 +0000 2020,ks,-1
Wed May 06 23:49:43 +0000 2020,in,-1
Wed May 06 23:49:42 +0000 2020,ca,1
Wed May 06 23:49:41 +0000 2020,ny,1
Wed May 06 23:49:36 +0000 2020,va,-1
Wed May 06 23:49:32 +0000 2020,ca,1
Wed May 06 23:49:32 +0000 2020,pa,-1
Wed May 06 23:49:30 +0000 2020,va,-1
Wed May 06 23:49:20 +0000 2020,co,-1
Wed May 06 23:49:16 +0000 2020,mt,-1
Wed May 06 23:49:12 +0000 2020,sd,1
Wed May 06 23:49:10 +0000 2020,tx,-1
Wed May 06 23:49:07 +0000 2020,pa,-1
Wed May 06 23:49:03 +0000 2020,ks,-1
Wed May 06 23:49:00 +0000 2020,pa,1
Wed May 06 23:48:59 +0000 2020,in,-1
Wed May 06 23:48:57 +0000 2020,ca,1
Wed May 06 23:48:57 +0000 2020,ca,-1
Wed May 06 23:48:55 +0000 2020,pa,-1
Wed May 06 23:48:54 +0000 2020,ca,-1
Wed May 06 23:48:53 +0000 2020,ny,1
Wed May 06 23:48:50 +0000 2020,ny,1
Wed May 06 23:48:47 +0000 2020,ms,1
Wed May 06 23:48:47 +0000 2020,pa,-1
Wed May 06 23:48:45 +0000 2020,sc,1
Wed May 06 23:48:42 +0000 2020,az,1
Wed May 06 23:48:41 +0000 2020,oh,1
Wed May 06 23:48:39 +0000 2020,fl,-1
Wed May 06 23:48:32 +0000 2020,az,1
Wed May 06 23:48:28 +0000 2020,nj,1
Wed May 06 23:48:23 +0000 2020,tx,-1
Wed May 06 23:48:11 +0000 2020,ny,1
Wed May 06 23:48:09 +0000 2020,ma,1
Wed May 06 23:48:03 +0000 2020,ca,-1
Wed May 06 23:47:55 +0000 2020,va,1
Wed May 06 23:47:54 +0000 2020,il,-1
Wed May 06 23:47:53 +0000 2020,ca,-1
Wed May 06 23:47:47 +0000 2020,tx,-1
Wed May 06 23:47:45 +0000 2020,ca,-1
Wed May 06 23:47:44 +0000 2020,fl,-1
Wed May 06 23:47:42 +0000 2020,az,1
Wed May 06 23:47:41 +0000 2020,az,-1
Wed May 06 23:47:38 +0000 2020,oh,-1
Wed May 06 23:47:35 +0000 2020,fl,-1
Wed May 06 23:47:35 +0000 2020,tx,1
Wed May 06 23:47:34 +0000 2020,ca,-1
Wed May 06 23:47:32 +0000 2020,pa,-1
Wed May 06 23:47:31 +0000 2020,nj,-1
Wed May 06 23:47:30 +0000 2020,il,1
Wed May 06 23:47:24 +0000 2020,nj,-1
Wed May 06 23:47:21 +0000 2020,id,1
Wed May 06 23:47:21 +0000 2020,co,-1
Wed May 06 23:47:16 +0000 2020,nj,1
Wed May 06 23:47:15 +0000 2020,nm,-1
Wed May 06 23:47:15 +0000 2020,ky,-1
Wed May 06 23:47:14 +0000 2020,ny,1
Wed May 06 23:47:13 +0000 2020,pa,-1
Wed May 06 23:47:11 +0000 2020,ny,-1
Wed May 06 23:47:11 +0000 2020,wv,1
Wed May 06 23:47:10 +0000 2020,nc,-1
Wed May 06 23:47:09 +0000 2020,ms,-1
Wed May 06 23:47:08 +0000 2020,va,-1
Wed May 06 23:47:07 +0000 2020,ma,-1
Wed May 06 23:47:06 +0000 2020,or,1
Wed May 06 23:47:05 +0000 2020,wi,-1
Wed May 06 23:47:04 +0000 2020,ca,-1
Wed May 06 23:47:03 +0000 2020,az,-1
Wed May 06 23:46:59 +0000 2020,ca,-1
Wed May 06 23:46:58 +0000 2020,md,1
Wed May 06 23:46:57 +0000 2020,ct,1
Wed May 06 23:46:54 +0000 2020,sc,1
Wed May 06 23:46:49 +0000 2020,ny,1
Wed May 06 23:46:47 +0000 2020,fl,-1
Wed May 06 23:46:45 +0000 2020,ca,-1
Wed May 06 23:46:44 +0000 2020,al,1
Wed May 06 23:46:41 +0000 2020,ca,-1
Wed May 06 23:46:40 +0000 2020,ms,-1
Wed May 06 23:46:39 +0000 2020,md,1
Wed May 06 23:46:38 +0000 2020,tx,-1
Wed May 06 23:46:37 +0000 2020,ca,1
Wed May 06 23:46:34 +0000 2020,nm,1
Wed May 06 23:46:24 +0000 2020,az,-1
Wed May 06 23:46:23 +0000 2020,ny,1
Wed May 06 23:46:20 +0000 2020,ny,1
Wed May 06 23:46:18 +0000 2020,wa,-1
Wed May 06 23:46:17 +0000 2020,oh,-1
Wed May 06 23:46:10 +0000 2020,pa,-1
Wed May 06 23:46:09 +0000 2020,fl,1
Wed May 06 23:46:08 +0000 2020,pa,1
Wed May 06 23:46:07 +0000 2020,la,1
Wed May 06 23:46:05 +0000 2020,ca,-1
Wed May 06 23:46:02 +0000 2020,oh,1
Wed May 06 23:46:02 +0000 2020,ia,-1
Wed May 06 23:46:02 +0000 2020,mi,-1
Wed May 06 23:46:00 +0000 2020,ca,-1
