time,state,label
Wed May 27 23:51:15 +0000 2020,il,1
Wed May 27 23:51:08 +0000 2020,fl,-1
Wed May 27 23:51:03 +0000 2020,fl,1
Wed May 27 23:51:00 +0000 2020,ca,1
Wed May 27 23:50:57 +0000 2020,ma,-1
Wed May 27 23:50:57 +0000 2020,mi,1
Wed May 27 23:50:51 +0000 2020,ct,-1
Wed May 27 23:50:45 +0000 2020,ma,1
Wed May 27 23:50:34 +0000 2020,fl,-1
Wed May 27 23:50:26 +0000 2020,ca,-1
Wed May 27 23:50:22 +0000 2020,fl,-1
Wed May 27 23:50:18 +0000 2020,ca,1
Wed May 27 23:50:18 +0000 2020,dc,1
Wed May 27 23:50:18 +0000 2020,pa,1
Wed May 27 23:50:07 +0000 2020,dc,1
Wed May 27 23:50:06 +0000 2020,sc,1
Wed May 27 23:50:00 +0000 2020,ca,1
Wed May 27 23:49:59 +0000 2020,md,-1
Wed May 27 23:49:56 +0000 2020,sc,-1
Wed May 27 23:49:54 +0000 2020,ca,-1
Wed May 27 23:49:51 +0000 2020,ct,1
Wed May 27 23:49:40 +0000 2020,in,-1
Wed May 27 23:49:38 +0000 2020,ga,1
Wed May 27 23:49:35 +0000 2020,ny,1
Wed May 27 23:49:31 +0000 2020,ny,1
Wed May 27 23:49:30 +0000 2020,il,-1
Wed May 27 23:49:23 +0000 2020,al,-1
Wed May 27 23:49:22 +0000 2020,fl,1
Wed May 27 23:49:21 +0000 2020,il,-1
Wed May 27 23:49:17 +0000 2020,ny,-1
Wed May 27 23:49:15 +0000 2020,de,-1
Wed May 27 23:49:12 +0000 2020,tx,-1
Wed May 27 23:49:06 +0000 2020,nj,1
Wed May 27 23:49:00 +0000 2020,il,1
Wed May 27 23:48:57 +0000 2020,il,-1
Wed May 27 23:48:45 +0000 2020,ky,-1
Wed May 27 23:48:44 +0000 2020,ca,-1
Wed May 27 23:48:38 +0000 2020,tx,-1
Wed May 27 23:48:35 +0000 2020,ca,-1
Wed May 27 23:48:32 +0000 2020,pa,-1
Wed May 27 23:48:31 +0000 2020,nc,1
Wed May 27 23:48:26 +0000 2020,ca,1
Wed May 27 23:48:19 +0000 2020,nj,-1
Wed May 27 23:48:14 +0000 2020,ca,-1
Wed May 27 23:48:07 +0000 2020,mo,-1
Wed May 27 23:48:05 +0000 2020,ny,-1
Wed May 27 23:48:01 +0000 2020,mi,-1
Wed May 27 23:47:57 +0000 2020,ca,-1
Wed May 27 23:47:49 +0000 2020,al,1
Wed May 27 23:47:28 +0000 2020,tx,-1
Wed May 27 23:47:27 +0000 2020,md,1
Wed May 27 23:47:21 +0000 2020,ca,-1
Wed May 27 23:47:17 +0000 2020,ca,-1
Wed May 27 23:47:13 +0000 2020,in,-1
Wed May 27 23:46:56 +0000 2020,wa,1
Wed May 27 23:46:48 +0000 2020,va,-1
Wed May 27 23:46:46 +0000 2020,mi,1
Wed May 27 23:46:38 +0000 2020,va,-1
Wed May 27 23:46:33 +0000 2020,nj,-1
Wed May 27 23:46:32 +0000 2020,il,1
Wed May 27 23:46:32 +0000 2020,ca,1
Wed May 27 23:46:26 +0000 2020,wi,-1
Wed May 27 23:46:15 +0000 2020,mi,1
Wed May 27 23:46:06 +0000 2020,dc,1
Wed May 27 23:46:06 +0000 2020,ny,1
Wed May 27 23:46:02 +0000 2020,ca,-1
Wed May 27 23:46:01 +0000 2020,or,-1
Wed May 27 23:46:01 +0000 2020,dc,1
Wed May 27 23:46:00 +0000 2020,ca,1
Wed May 27 23:45:57 +0000 2020,az,-1
Wed May 27 23:45:56 +0000 2020,ca,-1
Wed May 27 23:45:56 +0000 2020,mi,1
Wed May 27 23:45:56 +0000 2020,nj,1
Wed May 27 23:45:54 +0000 2020,dc,1
Wed May 27 23:45:50 +0000 2020,ms,-1
Wed May 27 23:45:42 +0000 2020,oh,-1
Wed May 27 23:45:40 +0000 2020,nv,1
Wed May 27 23:45:39 +0000 2020,wa,-1
Wed May 27 23:45:36 +0000 2020,ct,1
Wed May 27 23:45:32 +0000 2020,ma,-1
Wed May 27 23:45:25 +0000 2020,ca,-1
Wed May 27 23:45:20 +0000 2020,ma,-1
Wed May 27 23:45:13 +0000 2020,ny,1
Wed May 27 23:45:07 +0000 2020,ok,-1
Wed May 27 23:45:03 +0000 2020,or,-1
Wed May 27 23:45:00 +0000 2020,il,1
Wed May 27 23:44:59 +0000 2020,oh,1
Wed May 27 23:44:59 +0000 2020,oh,-1
