,time,state,label
132,Thu May 21 23:53:02 +0000 2020,oh,-1
133,Thu May 21 23:53:00 +0000 2020,ca,1
135,Thu May 21 23:52:58 +0000 2020,or,-1
136,Thu May 21 23:52:53 +0000 2020,az,1
137,Thu May 21 23:52:52 +0000 2020,ny,-1
138,Thu May 21 23:52:48 +0000 2020,mi,1
139,Thu May 21 23:52:46 +0000 2020,nc,1
140,Thu May 21 23:52:31 +0000 2020,ny,-1
141,Thu May 21 23:52:21 +0000 2020,mi,-1
142,Thu May 21 23:52:18 +0000 2020,or,1
144,Thu May 21 23:52:11 +0000 2020,ga,1
146,Thu May 21 23:52:05 +0000 2020,ne,-1
147,Thu May 21 23:52:04 +0000 2020,pa,1
148,Thu May 21 23:51:57 +0000 2020,tx,-1
149,Thu May 21 23:51:55 +0000 2020,fl,1
150,Thu May 21 23:51:51 +0000 2020,tx,-1
151,Thu May 21 23:51:48 +0000 2020,ct,1
152,Thu May 21 23:51:47 +0000 2020,fl,-1
153,Thu May 21 23:51:45 +0000 2020,ct,1
154,Thu May 21 23:51:42 +0000 2020,ms,1
155,Thu May 21 23:51:40 +0000 2020,or,-1
156,Thu May 21 23:51:35 +0000 2020,la,1
157,Thu May 21 23:51:35 +0000 2020,ny,-1
158,Thu May 21 23:51:28 +0000 2020,ca,1
159,Thu May 21 23:51:27 +0000 2020,or,-1
160,Thu May 21 23:51:23 +0000 2020,id,1
161,Thu May 21 23:51:22 +0000 2020,ok,1
162,Thu May 21 23:51:17 +0000 2020,ny,1
164,Thu May 21 23:51:09 +0000 2020,pa,1
165,Thu May 21 23:51:05 +0000 2020,tx,-1
167,Thu May 21 23:50:59 +0000 2020,dc,1
169,Thu May 21 23:50:55 +0000 2020,ca,-1
170,Thu May 21 23:50:50 +0000 2020,nc,-1
171,Thu May 21 23:50:46 +0000 2020,fl,1
172,Thu May 21 23:50:42 +0000 2020,al,1
174,Thu May 21 23:50:37 +0000 2020,nj,1
175,Thu May 21 23:50:35 +0000 2020,tx,1
176,Thu May 21 23:50:32 +0000 2020,ma,1
177,Thu May 21 23:50:31 +0000 2020,tx,1
178,Thu May 21 23:50:31 +0000 2020,fl,1
179,Thu May 21 23:50:29 +0000 2020,tx,1
180,Thu May 21 23:50:10 +0000 2020,ne,1
181,Thu May 21 23:50:08 +0000 2020,wa,-1
182,Thu May 21 23:50:07 +0000 2020,ca,-1
183,Thu May 21 23:50:06 +0000 2020,dc,1
184,Thu May 21 23:50:02 +0000 2020,ca,1
185,Thu May 21 23:50:00 +0000 2020,ca,1
186,Thu May 21 23:50:00 +0000 2020,tx,1
187,Thu May 21 23:50:00 +0000 2020,tx,1
188,Thu May 21 23:50:00 +0000 2020,tx,1
189,Thu May 21 23:49:58 +0000 2020,ky,1
190,Thu May 21 23:49:56 +0000 2020,nv,-1
192,Thu May 21 23:49:49 +0000 2020,ca,-1
193,Thu May 21 23:49:44 +0000 2020,in,1
195,Thu May 21 23:49:38 +0000 2020,ca,1
196,Thu May 21 23:49:35 +0000 2020,md,-1
197,Thu May 21 23:49:34 +0000 2020,nc,-1
199,Thu May 21 23:49:27 +0000 2020,mi,1
200,Thu May 21 23:49:26 +0000 2020,mi,-1
202,Thu May 21 23:49:23 +0000 2020,nc,1
204,Thu May 21 23:49:16 +0000 2020,il,1
205,Thu May 21 23:49:13 +0000 2020,al,-1
206,Thu May 21 23:49:12 +0000 2020,ca,1
207,Thu May 21 23:49:09 +0000 2020,tn,-1
209,Thu May 21 23:48:57 +0000 2020,nc,1
210,Thu May 21 23:48:56 +0000 2020,oh,-1
212,Thu May 21 23:48:51 +0000 2020,nj,1
214,Thu May 21 23:48:50 +0000 2020,md,-1
215,Thu May 21 23:48:47 +0000 2020,az,-1
216,Thu May 21 23:48:44 +0000 2020,in,-1
217,Thu May 21 23:48:40 +0000 2020,nj,1
218,Thu May 21 23:48:33 +0000 2020,md,1
219,Thu May 21 23:48:33 +0000 2020,az,1
220,Thu May 21 23:48:31 +0000 2020,ca,-1
221,Thu May 21 23:48:30 +0000 2020,ct,1
222,Thu May 21 23:48:28 +0000 2020,nj,-1
223,Thu May 21 23:48:11 +0000 2020,va,-1
226,Thu May 21 23:48:04 +0000 2020,fl,1
227,Thu May 21 23:48:01 +0000 2020,tx,-1
228,Thu May 21 23:48:01 +0000 2020,ca,1
229,Thu May 21 23:48:00 +0000 2020,mo,1
230,Thu May 21 23:47:59 +0000 2020,md,-1
231,Thu May 21 23:47:51 +0000 2020,ca,1
234,Thu May 21 23:47:19 +0000 2020,oh,-1
235,Thu May 21 23:47:15 +0000 2020,ks,-1
236,Thu May 21 23:47:14 +0000 2020,il,1
237,Thu May 21 23:47:08 +0000 2020,co,1
238,Thu May 21 23:47:05 +0000 2020,ky,-1
239,Thu May 21 23:46:58 +0000 2020,tx,-1
240,Thu May 21 23:46:58 +0000 2020,ca,1
241,Thu May 21 23:46:55 +0000 2020,ky,1
242,Thu May 21 23:46:55 +0000 2020,az,1
243,Thu May 21 23:46:50 +0000 2020,dc,-1
244,Thu May 21 23:46:49 +0000 2020,ga,-1
245,Thu May 21 23:46:37 +0000 2020,oh,-1
246,Thu May 21 23:46:34 +0000 2020,nj,1
247,Thu May 21 23:46:30 +0000 2020,ga,1
248,Thu May 21 23:46:29 +0000 2020,sc,1
249,Thu May 21 23:46:29 +0000 2020,la,1
250,Thu May 21 23:46:27 +0000 2020,co,-1
251,Thu May 21 23:46:23 +0000 2020,oh,-1
252,Thu May 21 23:46:21 +0000 2020,tx,-1
253,Thu May 21 23:46:17 +0000 2020,ok,1
254,Thu May 21 23:46:11 +0000 2020,ca,-1
255,Thu May 21 23:46:10 +0000 2020,il,1
256,Thu May 21 23:46:05 +0000 2020,nj,1
257,Thu May 21 23:46:02 +0000 2020,fl,1
258,Thu May 21 23:46:02 +0000 2020,oh,1
259,Thu May 21 23:45:57 +0000 2020,fl,1
260,Thu May 21 23:45:56 +0000 2020,nc,1
261,Thu May 21 23:45:55 +0000 2020,ar,1
262,Thu May 21 23:45:53 +0000 2020,ny,1
263,Thu May 21 23:45:52 +0000 2020,ca,-1
264,Thu May 21 23:45:51 +0000 2020,mi,-1
265,Thu May 21 23:45:50 +0000 2020,ca,1
266,Thu May 21 23:45:49 +0000 2020,ma,1
267,Thu May 21 23:45:49 +0000 2020,fl,1
268,Thu May 21 23:45:48 +0000 2020,fl,1
269,Thu May 21 23:45:39 +0000 2020,nc,-1
270,Thu May 21 23:45:30 +0000 2020,ks,-1
271,Thu May 21 23:45:26 +0000 2020,az,-1
272,Thu May 21 23:45:20 +0000 2020,ca,-1
273,Thu May 21 23:45:15 +0000 2020,oh,1
