,time,state,label
0,Sun May 17 23:59:58 +0000 2020,md,1
1,Sun May 17 23:59:57 +0000 2020,ny,-1
3,Sun May 17 23:59:54 +0000 2020,wi,-1
4,Sun May 17 23:59:50 +0000 2020,wi,-1
5,Sun May 17 23:59:45 +0000 2020,ca,1
6,Sun May 17 23:59:45 +0000 2020,fl,1
7,Sun May 17 23:59:43 +0000 2020,fl,1
8,Sun May 17 23:59:41 +0000 2020,tx,1
9,Sun May 17 23:59:37 +0000 2020,tx,1
10,Sun May 17 23:59:34 +0000 2020,tx,-1
11,Sun May 17 23:59:33 +0000 2020,ca,1
12,Sun May 17 23:59:31 +0000 2020,nc,-1
13,Sun May 17 23:59:26 +0000 2020,nj,-1
14,Sun May 17 23:59:24 +0000 2020,ga,-1
15,Sun May 17 23:59:19 +0000 2020,dc,-1
16,Sun May 17 23:59:11 +0000 2020,nh,-1
17,Sun May 17 23:59:09 +0000 2020,az,1
19,Sun May 17 23:59:07 +0000 2020,ky,1
20,Sun May 17 23:59:03 +0000 2020,mo,-1
22,Sun May 17 23:59:00 +0000 2020,ca,1
24,Sun May 17 23:58:59 +0000 2020,or,1
25,Sun May 17 23:58:51 +0000 2020,ma,-1
26,Sun May 17 23:58:50 +0000 2020,oh,-1
27,Sun May 17 23:58:49 +0000 2020,pa,1
28,Sun May 17 23:58:48 +0000 2020,dc,1
29,Sun May 17 23:58:47 +0000 2020,fl,1
30,Sun May 17 23:58:45 +0000 2020,pa,1
31,Sun May 17 23:58:41 +0000 2020,oh,1
32,Sun May 17 23:58:41 +0000 2020,ca,-1
33,Sun May 17 23:58:37 +0000 2020,fl,1
34,Sun May 17 23:58:36 +0000 2020,ok,-1
35,Sun May 17 23:58:28 +0000 2020,or,1
36,Sun May 17 23:58:26 +0000 2020,mi,1
38,Sun May 17 23:58:20 +0000 2020,dc,1
39,Sun May 17 23:58:20 +0000 2020,va,1
40,Sun May 17 23:58:14 +0000 2020,tx,1
41,Sun May 17 23:58:14 +0000 2020,az,1
42,Sun May 17 23:58:13 +0000 2020,va,1
43,Sun May 17 23:58:11 +0000 2020,fl,1
44,Sun May 17 23:58:10 +0000 2020,or,-1
45,Sun May 17 23:58:10 +0000 2020,mi,-1
46,Sun May 17 23:58:07 +0000 2020,nj,-1
47,Sun May 17 23:58:06 +0000 2020,tx,-1
49,Sun May 17 23:58:04 +0000 2020,tx,-1
50,Sun May 17 23:58:00 +0000 2020,nv,1
51,Sun May 17 23:57:59 +0000 2020,ca,1
53,Sun May 17 23:57:55 +0000 2020,az,1
