,time,state,label
0,Fri May 15 23:59:53 +0000 2020,tx,1
1,Fri May 15 23:59:53 +0000 2020,il,-1
2,Fri May 15 23:59:51 +0000 2020,sc,1
3,Fri May 15 23:59:50 +0000 2020,ma,1
4,Fri May 15 23:59:49 +0000 2020,tx,1
5,Fri May 15 23:59:45 +0000 2020,ky,-1
6,Fri May 15 23:59:43 +0000 2020,wa,-1
7,Fri May 15 23:59:39 +0000 2020,va,1
8,Fri May 15 23:59:37 +0000 2020,mi,1
9,Fri May 15 23:59:35 +0000 2020,ct,1
10,Fri May 15 23:59:33 +0000 2020,ny,-1
11,Fri May 15 23:59:33 +0000 2020,al,1
12,Fri May 15 23:59:32 +0000 2020,fl,1
14,Fri May 15 23:59:30 +0000 2020,fl,1
15,Fri May 15 23:59:28 +0000 2020,ma,-1
16,Fri May 15 23:59:24 +0000 2020,pa,-1
17,Fri May 15 23:59:24 +0000 2020,ca,1
19,Fri May 15 23:59:23 +0000 2020,ca,-1
20,Fri May 15 23:59:16 +0000 2020,nc,-1
21,Fri May 15 23:59:11 +0000 2020,az,-1
22,Fri May 15 23:59:09 +0000 2020,wa,-1
24,Fri May 15 23:59:04 +0000 2020,az,1
25,Fri May 15 23:59:02 +0000 2020,ga,1
26,Fri May 15 23:58:58 +0000 2020,ca,-1
27,Fri May 15 23:58:51 +0000 2020,wa,-1
28,Fri May 15 23:58:46 +0000 2020,fl,1
30,Fri May 15 23:58:38 +0000 2020,pa,1
32,Fri May 15 23:58:37 +0000 2020,tx,1
33,Fri May 15 23:58:37 +0000 2020,dc,1
34,Fri May 15 23:58:33 +0000 2020,fl,1
35,Fri May 15 23:58:32 +0000 2020,pa,1
37,Fri May 15 23:58:26 +0000 2020,nj,-1
39,Fri May 15 23:58:22 +0000 2020,tx,1
40,Fri May 15 23:58:22 +0000 2020,tx,1
41,Fri May 15 23:58:21 +0000 2020,ny,-1
42,Fri May 15 23:58:18 +0000 2020,me,1
44,Fri May 15 23:58:15 +0000 2020,ca,1
45,Fri May 15 23:58:15 +0000 2020,ga,-1
47,Fri May 15 23:57:54 +0000 2020,mo,1
48,Fri May 15 23:57:48 +0000 2020,oh,1
50,Fri May 15 23:57:42 +0000 2020,ca,-1
51,Fri May 15 23:57:41 +0000 2020,fl,-1
52,Fri May 15 23:57:39 +0000 2020,nv,-1
53,Fri May 15 23:57:37 +0000 2020,fl,-1
54,Fri May 15 23:57:37 +0000 2020,oh,-1
55,Fri May 15 23:57:37 +0000 2020,or,-1
56,Fri May 15 23:57:34 +0000 2020,il,1
57,Fri May 15 23:57:33 +0000 2020,va,1
59,Fri May 15 23:57:26 +0000 2020,ca,1
60,Fri May 15 23:57:21 +0000 2020,ny,-1
61,Fri May 15 23:57:17 +0000 2020,fl,-1
62,Fri May 15 23:57:10 +0000 2020,mi,-1
63,Fri May 15 23:57:09 +0000 2020,id,1
64,Fri May 15 23:57:06 +0000 2020,ny,1
