,time,state,label
0,Tue May 05 23:59:57 +0000 2020,mi,-1
1,Tue May 05 23:59:54 +0000 2020,nj,-1
3,Tue May 05 23:59:47 +0000 2020,sc,1
6,Tue May 05 23:59:41 +0000 2020,al,-1
7,Tue May 05 23:59:39 +0000 2020,co,-1
8,Tue May 05 23:59:38 +0000 2020,tx,1
9,Tue May 05 23:59:36 +0000 2020,ma,-1
10,Tue May 05 23:59:35 +0000 2020,ca,-1
11,Tue May 05 23:59:32 +0000 2020,pa,-1
12,Tue May 05 23:59:30 +0000 2020,or,-1
13,Tue May 05 23:59:29 +0000 2020,ca,1
14,Tue May 05 23:59:29 +0000 2020,ny,-1
15,Tue May 05 23:59:24 +0000 2020,fl,-1
16,Tue May 05 23:59:22 +0000 2020,ca,-1
17,Tue May 05 23:59:20 +0000 2020,il,1
18,Tue May 05 23:59:20 +0000 2020,ca,-1
19,Tue May 05 23:59:14 +0000 2020,tx,-1
20,Tue May 05 23:59:12 +0000 2020,al,1
22,Tue May 05 23:59:08 +0000 2020,ca,-1
23,Tue May 05 23:59:06 +0000 2020,tx,-1
24,Tue May 05 23:59:04 +0000 2020,ca,1
25,Tue May 05 23:58:54 +0000 2020,ca,-1
26,Tue May 05 23:58:54 +0000 2020,ny,-1
27,Tue May 05 23:58:52 +0000 2020,oh,1
28,Tue May 05 23:58:48 +0000 2020,va,-1
29,Tue May 05 23:58:46 +0000 2020,tx,-1
30,Tue May 05 23:58:44 +0000 2020,ny,-1
31,Tue May 05 23:58:44 +0000 2020,la,1
32,Tue May 05 23:58:42 +0000 2020,tx,-1
33,Tue May 05 23:58:35 +0000 2020,tx,-1
34,Tue May 05 23:58:35 +0000 2020,ny,1
35,Tue May 05 23:58:26 +0000 2020,ca,-1
37,Tue May 05 23:58:20 +0000 2020,fl,-1
38,Tue May 05 23:58:20 +0000 2020,mi,-1
39,Tue May 05 23:58:15 +0000 2020,ny,-1
40,Tue May 05 23:58:10 +0000 2020,il,-1
41,Tue May 05 23:58:06 +0000 2020,mt,-1
42,Tue May 05 23:58:03 +0000 2020,md,-1
43,Tue May 05 23:58:03 +0000 2020,ny,-1
44,Tue May 05 23:58:01 +0000 2020,ny,-1
45,Tue May 05 23:57:58 +0000 2020,ca,-1
46,Tue May 05 23:57:52 +0000 2020,ks,1
47,Tue May 05 23:57:52 +0000 2020,az,-1
49,Tue May 05 23:57:50 +0000 2020,ca,-1
50,Tue May 05 23:57:48 +0000 2020,ca,-1
51,Tue May 05 23:57:45 +0000 2020,ca,-1
52,Tue May 05 23:57:41 +0000 2020,ga,-1
53,Tue May 05 23:57:38 +0000 2020,ma,-1
54,Tue May 05 23:57:35 +0000 2020,tx,-1
55,Tue May 05 23:57:34 +0000 2020,ok,-1
56,Tue May 05 23:57:33 +0000 2020,sc,1
58,Tue May 05 23:57:31 +0000 2020,ok,1
59,Tue May 05 23:57:29 +0000 2020,ca,-1
60,Tue May 05 23:57:29 +0000 2020,fl,-1
61,Tue May 05 23:57:29 +0000 2020,wa,-1
62,Tue May 05 23:57:28 +0000 2020,nj,1
63,Tue May 05 23:57:27 +0000 2020,ca,-1
64,Tue May 05 23:57:27 +0000 2020,il,-1
65,Tue May 05 23:57:26 +0000 2020,tn,-1
66,Tue May 05 23:57:25 +0000 2020,co,-1
67,Tue May 05 23:57:23 +0000 2020,mi,-1
68,Tue May 05 23:57:22 +0000 2020,tx,-1
70,Tue May 05 23:57:20 +0000 2020,ca,-1
71,Tue May 05 23:57:17 +0000 2020,pa,-1
72,Tue May 05 23:57:14 +0000 2020,nm,-1
