,time,state,label
137,Fri May 08 23:55:53 +0000 2020,fl,-1
138,Fri May 08 23:55:52 +0000 2020,ia,1
139,Fri May 08 23:55:43 +0000 2020,ga,-1
140,Fri May 08 23:55:42 +0000 2020,oh,-1
141,Fri May 08 23:55:38 +0000 2020,va,1
142,Fri May 08 23:55:37 +0000 2020,al,1
143,Fri May 08 23:55:33 +0000 2020,il,-1
144,Fri May 08 23:55:33 +0000 2020,nj,-1
145,Fri May 08 23:55:32 +0000 2020,va,-1
146,Fri May 08 23:55:32 +0000 2020,md,-1
147,Fri May 08 23:55:30 +0000 2020,tx,-1
148,Fri May 08 23:55:29 +0000 2020,pa,-1
151,Fri May 08 23:55:21 +0000 2020,fl,-1
153,Fri May 08 23:55:14 +0000 2020,ca,1
154,Fri May 08 23:55:14 +0000 2020,oh,-1
155,Fri May 08 23:55:13 +0000 2020,oh,-1
156,Fri May 08 23:55:13 +0000 2020,md,-1
157,Fri May 08 23:55:12 +0000 2020,co,1
158,Fri May 08 23:55:12 +0000 2020,tx,-1
159,Fri May 08 23:55:11 +0000 2020,ca,-1
161,Fri May 08 23:55:08 +0000 2020,ca,1
162,Fri May 08 23:55:04 +0000 2020,pa,-1
163,Fri May 08 23:55:03 +0000 2020,ny,-1
164,Fri May 08 23:54:59 +0000 2020,va,-1
165,Fri May 08 23:54:56 +0000 2020,ny,-1
166,Fri May 08 23:54:55 +0000 2020,az,-1
167,Fri May 08 23:54:55 +0000 2020,pa,-1
168,Fri May 08 23:54:53 +0000 2020,nj,1
169,Fri May 08 23:54:50 +0000 2020,ny,-1
170,Fri May 08 23:54:48 +0000 2020,oh,-1
172,Fri May 08 23:54:44 +0000 2020,ca,1
173,Fri May 08 23:54:38 +0000 2020,nc,-1
174,Fri May 08 23:54:38 +0000 2020,ga,-1
175,Fri May 08 23:54:33 +0000 2020,nj,1
176,Fri May 08 23:54:32 +0000 2020,ca,-1
177,Fri May 08 23:54:32 +0000 2020,fl,-1
178,Fri May 08 23:54:32 +0000 2020,ny,-1
179,Fri May 08 23:54:31 +0000 2020,ga,-1
180,Fri May 08 23:54:24 +0000 2020,md,-1
181,Fri May 08 23:54:24 +0000 2020,il,-1
182,Fri May 08 23:54:17 +0000 2020,ca,1
183,Fri May 08 23:54:16 +0000 2020,az,-1
184,Fri May 08 23:54:14 +0000 2020,ca,1
185,Fri May 08 23:54:10 +0000 2020,ca,-1
186,Fri May 08 23:54:10 +0000 2020,ma,1
187,Fri May 08 23:54:09 +0000 2020,ca,1
189,Fri May 08 23:54:08 +0000 2020,ks,-1
190,Fri May 08 23:54:06 +0000 2020,az,1
191,Fri May 08 23:54:05 +0000 2020,ga,-1
192,Fri May 08 23:54:03 +0000 2020,ca,-1
193,Fri May 08 23:54:02 +0000 2020,mi,-1
194,Fri May 08 23:54:01 +0000 2020,ny,1
196,Fri May 08 23:53:56 +0000 2020,ca,-1
198,Fri May 08 23:53:54 +0000 2020,pa,1
200,Fri May 08 23:53:54 +0000 2020,nh,1
201,Fri May 08 23:53:54 +0000 2020,wi,-1
202,Fri May 08 23:53:53 +0000 2020,fl,-1
203,Fri May 08 23:53:53 +0000 2020,fl,1
204,Fri May 08 23:53:51 +0000 2020,wi,1
205,Fri May 08 23:53:50 +0000 2020,nm,-1
206,Fri May 08 23:53:48 +0000 2020,oh,1
207,Fri May 08 23:53:44 +0000 2020,in,1
208,Fri May 08 23:53:41 +0000 2020,az,-1
209,Fri May 08 23:53:39 +0000 2020,ma,-1
210,Fri May 08 23:53:37 +0000 2020,oh,1
211,Fri May 08 23:53:37 +0000 2020,ny,1
212,Fri May 08 23:53:34 +0000 2020,fl,-1
213,Fri May 08 23:53:29 +0000 2020,pa,-1
214,Fri May 08 23:53:29 +0000 2020,me,1
215,Fri May 08 23:53:29 +0000 2020,ma,-1
216,Fri May 08 23:53:28 +0000 2020,pa,-1
217,Fri May 08 23:53:26 +0000 2020,ca,-1
218,Fri May 08 23:53:22 +0000 2020,il,1
220,Fri May 08 23:53:20 +0000 2020,ca,1
221,Fri May 08 23:53:20 +0000 2020,ny,-1
222,Fri May 08 23:53:20 +0000 2020,mn,-1
223,Fri May 08 23:53:15 +0000 2020,nj,1
224,Fri May 08 23:53:12 +0000 2020,fl,-1
225,Fri May 08 23:53:11 +0000 2020,ny,-1
226,Fri May 08 23:53:09 +0000 2020,nj,-1
227,Fri May 08 23:53:09 +0000 2020,ga,1
228,Fri May 08 23:53:06 +0000 2020,ca,-1
229,Fri May 08 23:53:04 +0000 2020,md,-1
230,Fri May 08 23:53:02 +0000 2020,nv,1
231,Fri May 08 23:52:57 +0000 2020,ca,-1
232,Fri May 08 23:52:56 +0000 2020,ca,-1
233,Fri May 08 23:52:56 +0000 2020,tx,1
234,Fri May 08 23:52:53 +0000 2020,fl,-1
235,Fri May 08 23:52:52 +0000 2020,sc,-1
236,Fri May 08 23:52:49 +0000 2020,ny,-1
237,Fri May 08 23:52:47 +0000 2020,ct,-1
238,Fri May 08 23:52:46 +0000 2020,tx,-1
240,Fri May 08 23:52:39 +0000 2020,ut,-1
241,Fri May 08 23:52:38 +0000 2020,ia,-1
242,Fri May 08 23:52:37 +0000 2020,fl,-1
243,Fri May 08 23:52:29 +0000 2020,sc,-1
245,Fri May 08 23:52:26 +0000 2020,ia,-1
246,Fri May 08 23:52:25 +0000 2020,co,1
247,Fri May 08 23:52:24 +0000 2020,dc,1
248,Fri May 08 23:52:21 +0000 2020,pa,1
249,Fri May 08 23:52:17 +0000 2020,tx,-1
250,Fri May 08 23:52:17 +0000 2020,tx,-1
251,Fri May 08 23:52:17 +0000 2020,ga,-1
252,Fri May 08 23:52:15 +0000 2020,in,1
254,Fri May 08 23:52:14 +0000 2020,sd,-1
255,Fri May 08 23:52:13 +0000 2020,md,-1
256,Fri May 08 23:52:12 +0000 2020,sc,1
257,Fri May 08 23:52:11 +0000 2020,pa,-1
259,Fri May 08 23:52:09 +0000 2020,tx,-1
260,Fri May 08 23:52:09 +0000 2020,ky,1
261,Fri May 08 23:52:06 +0000 2020,ga,-1
262,Fri May 08 23:52:06 +0000 2020,ca,-1
264,Fri May 08 23:52:05 +0000 2020,az,1
266,Fri May 08 23:52:01 +0000 2020,pa,-1
267,Fri May 08 23:52:00 +0000 2020,wi,-1
268,Fri May 08 23:52:00 +0000 2020,ne,1
269,Fri May 08 23:51:59 +0000 2020,ny,-1
271,Fri May 08 23:51:56 +0000 2020,ca,-1
272,Fri May 08 23:51:53 +0000 2020,tx,1
273,Fri May 08 23:51:51 +0000 2020,va,-1
274,Fri May 08 23:51:49 +0000 2020,mi,-1
275,Fri May 08 23:51:47 +0000 2020,tx,1
276,Fri May 08 23:51:44 +0000 2020,or,-1
277,Fri May 08 23:51:43 +0000 2020,il,-1
278,Fri May 08 23:51:42 +0000 2020,ca,1
280,Fri May 08 23:51:38 +0000 2020,ct,-1
281,Fri May 08 23:51:36 +0000 2020,ca,1
282,Fri May 08 23:51:36 +0000 2020,ia,-1
283,Fri May 08 23:51:33 +0000 2020,ca,1
284,Fri May 08 23:51:32 +0000 2020,tx,-1
285,Fri May 08 23:51:31 +0000 2020,ca,-1
287,Fri May 08 23:51:22 +0000 2020,ct,-1
289,Fri May 08 23:51:15 +0000 2020,pa,-1
291,Fri May 08 23:51:14 +0000 2020,ca,-1
292,Fri May 08 23:51:13 +0000 2020,ia,1
293,Fri May 08 23:51:12 +0000 2020,wa,-1
294,Fri May 08 23:51:12 +0000 2020,ca,-1
295,Fri May 08 23:51:10 +0000 2020,nc,1
296,Fri May 08 23:51:07 +0000 2020,nj,1
297,Fri May 08 23:51:00 +0000 2020,fl,1
298,Fri May 08 23:50:56 +0000 2020,sc,-1
299,Fri May 08 23:50:56 +0000 2020,fl,-1
300,Fri May 08 23:50:55 +0000 2020,mo,1
301,Fri May 08 23:50:52 +0000 2020,va,-1
302,Fri May 08 23:50:51 +0000 2020,wy,-1
304,Fri May 08 23:50:49 +0000 2020,tx,-1
305,Fri May 08 23:50:49 +0000 2020,mi,-1
306,Fri May 08 23:50:47 +0000 2020,fl,-1
307,Fri May 08 23:50:46 +0000 2020,md,-1
308,Fri May 08 23:50:46 +0000 2020,nc,1
309,Fri May 08 23:50:46 +0000 2020,ca,-1
310,Fri May 08 23:50:46 +0000 2020,nj,1
311,Fri May 08 23:50:45 +0000 2020,nv,-1
312,Fri May 08 23:50:41 +0000 2020,vt,-1
313,Fri May 08 23:50:39 +0000 2020,ny,-1
314,Fri May 08 23:50:38 +0000 2020,ma,-1
315,Fri May 08 23:50:37 +0000 2020,ct,-1
316,Fri May 08 23:50:37 +0000 2020,md,-1
317,Fri May 08 23:50:37 +0000 2020,nc,-1
318,Fri May 08 23:50:36 +0000 2020,az,-1
320,Fri May 08 23:50:32 +0000 2020,ga,-1
321,Fri May 08 23:50:30 +0000 2020,ca,1
322,Fri May 08 23:50:29 +0000 2020,va,-1
324,Fri May 08 23:50:28 +0000 2020,ca,-1
325,Fri May 08 23:50:26 +0000 2020,ca,-1
326,Fri May 08 23:50:21 +0000 2020,ne,1
327,Fri May 08 23:50:13 +0000 2020,nv,1
328,Fri May 08 23:50:12 +0000 2020,ca,-1
329,Fri May 08 23:50:00 +0000 2020,az,1
330,Fri May 08 23:49:58 +0000 2020,de,-1
331,Fri May 08 23:49:51 +0000 2020,mi,1
332,Fri May 08 23:49:48 +0000 2020,me,1
333,Fri May 08 23:49:48 +0000 2020,fl,-1
334,Fri May 08 23:49:44 +0000 2020,tx,-1
335,Fri May 08 23:49:42 +0000 2020,pa,-1
337,Fri May 08 23:49:31 +0000 2020,in,1
338,Fri May 08 23:49:20 +0000 2020,sc,1
341,Fri May 08 23:49:09 +0000 2020,pa,-1
342,Fri May 08 23:49:03 +0000 2020,pa,1
343,Fri May 08 23:49:03 +0000 2020,ga,1
344,Fri May 08 23:48:55 +0000 2020,va,-1
347,Fri May 08 23:48:45 +0000 2020,ny,-1
348,Fri May 08 23:48:37 +0000 2020,tx,1
349,Fri May 08 23:48:35 +0000 2020,ma,-1
350,Fri May 08 23:48:32 +0000 2020,dc,1
351,Fri May 08 23:48:30 +0000 2020,oh,1
352,Fri May 08 23:48:28 +0000 2020,tx,-1
