,time,state,label
1,Mon May 11 23:59:58 +0000 2020,mi,-1
2,Mon May 11 23:59:56 +0000 2020,tx,-1
3,Mon May 11 23:59:56 +0000 2020,fl,-1
4,Mon May 11 23:59:54 +0000 2020,ga,1
5,Mon May 11 23:59:54 +0000 2020,pa,-1
6,Mon May 11 23:59:54 +0000 2020,tx,-1
7,Mon May 11 23:59:52 +0000 2020,ky,-1
8,Mon May 11 23:59:49 +0000 2020,va,-1
9,Mon May 11 23:59:48 +0000 2020,nj,1
10,Mon May 11 23:59:46 +0000 2020,fl,-1
11,Mon May 11 23:59:45 +0000 2020,ny,-1
12,Mon May 11 23:59:44 +0000 2020,ca,-1
13,Mon May 11 23:59:44 +0000 2020,ca,-1
14,Mon May 11 23:59:44 +0000 2020,pa,-1
15,Mon May 11 23:59:40 +0000 2020,ca,-1
16,Mon May 11 23:59:39 +0000 2020,in,-1
17,Mon May 11 23:59:38 +0000 2020,nc,-1
18,Mon May 11 23:59:35 +0000 2020,fl,1
19,Mon May 11 23:59:34 +0000 2020,nc,1
20,Mon May 11 23:59:32 +0000 2020,ga,-1
21,Mon May 11 23:59:31 +0000 2020,nc,1
23,Mon May 11 23:59:28 +0000 2020,fl,-1
24,Mon May 11 23:59:28 +0000 2020,ca,-1
25,Mon May 11 23:59:27 +0000 2020,fl,1
26,Mon May 11 23:59:25 +0000 2020,nj,1
27,Mon May 11 23:59:25 +0000 2020,fl,1
28,Mon May 11 23:59:22 +0000 2020,ga,-1
29,Mon May 11 23:59:21 +0000 2020,ri,-1
30,Mon May 11 23:59:21 +0000 2020,nm,-1
31,Mon May 11 23:59:21 +0000 2020,ny,-1
32,Mon May 11 23:59:20 +0000 2020,or,-1
33,Mon May 11 23:59:20 +0000 2020,ms,1
34,Mon May 11 23:59:19 +0000 2020,ga,-1
36,Mon May 11 23:59:17 +0000 2020,oh,1
37,Mon May 11 23:59:16 +0000 2020,tx,1
38,Mon May 11 23:59:16 +0000 2020,ca,-1
39,Mon May 11 23:59:15 +0000 2020,pa,-1
40,Mon May 11 23:59:13 +0000 2020,ny,-1
41,Mon May 11 23:59:12 +0000 2020,il,1
42,Mon May 11 23:59:11 +0000 2020,va,-1
43,Mon May 11 23:59:11 +0000 2020,ca,-1
44,Mon May 11 23:59:08 +0000 2020,oh,-1
45,Mon May 11 23:59:07 +0000 2020,ar,-1
46,Mon May 11 23:59:06 +0000 2020,ga,-1
47,Mon May 11 23:59:05 +0000 2020,oh,-1
48,Mon May 11 23:59:03 +0000 2020,nj,-1
49,Mon May 11 23:59:03 +0000 2020,ut,-1
50,Mon May 11 23:59:02 +0000 2020,ca,-1
51,Mon May 11 23:59:02 +0000 2020,il,-1
52,Mon May 11 23:58:56 +0000 2020,il,1
53,Mon May 11 23:58:55 +0000 2020,fl,-1
54,Mon May 11 23:58:47 +0000 2020,nh,-1
55,Mon May 11 23:58:44 +0000 2020,wa,-1
56,Mon May 11 23:58:43 +0000 2020,nc,-1
57,Mon May 11 23:58:42 +0000 2020,nc,-1
58,Mon May 11 23:58:41 +0000 2020,ma,-1
60,Mon May 11 23:58:37 +0000 2020,ca,-1
61,Mon May 11 23:58:36 +0000 2020,pa,-1
62,Mon May 11 23:58:33 +0000 2020,hi,-1
64,Mon May 11 23:58:31 +0000 2020,wa,-1
65,Mon May 11 23:58:27 +0000 2020,wi,-1
66,Mon May 11 23:58:27 +0000 2020,ca,-1
67,Mon May 11 23:58:25 +0000 2020,la,1
68,Mon May 11 23:58:25 +0000 2020,ca,-1
69,Mon May 11 23:58:23 +0000 2020,il,-1
70,Mon May 11 23:58:22 +0000 2020,ny,-1
71,Mon May 11 23:58:22 +0000 2020,ca,-1
72,Mon May 11 23:58:22 +0000 2020,mi,-1
73,Mon May 11 23:58:22 +0000 2020,ca,-1
74,Mon May 11 23:58:20 +0000 2020,fl,1
75,Mon May 11 23:58:20 +0000 2020,wa,-1
76,Mon May 11 23:58:19 +0000 2020,tx,-1
77,Mon May 11 23:58:18 +0000 2020,nc,-1
79,Mon May 11 23:58:13 +0000 2020,tn,1
80,Mon May 11 23:58:13 +0000 2020,ny,1
81,Mon May 11 23:58:13 +0000 2020,or,-1
82,Mon May 11 23:58:12 +0000 2020,il,-1
83,Mon May 11 23:58:05 +0000 2020,fl,-1
84,Mon May 11 23:58:04 +0000 2020,pa,-1
85,Mon May 11 23:58:04 +0000 2020,ca,-1
87,Mon May 11 23:57:57 +0000 2020,pa,-1
88,Mon May 11 23:57:56 +0000 2020,ca,1
89,Mon May 11 23:57:55 +0000 2020,ca,-1
90,Mon May 11 23:57:55 +0000 2020,ca,-1
92,Mon May 11 23:57:53 +0000 2020,wi,-1
93,Mon May 11 23:57:51 +0000 2020,ga,-1
94,Mon May 11 23:57:51 +0000 2020,mo,-1
95,Mon May 11 23:57:51 +0000 2020,nc,1
97,Mon May 11 23:57:48 +0000 2020,fl,-1
98,Mon May 11 23:57:48 +0000 2020,dc,1
99,Mon May 11 23:57:45 +0000 2020,az,-1
100,Mon May 11 23:57:41 +0000 2020,wa,-1
101,Mon May 11 23:57:37 +0000 2020,az,-1
102,Mon May 11 23:57:35 +0000 2020,il,-1
103,Mon May 11 23:57:33 +0000 2020,ky,1
104,Mon May 11 23:57:32 +0000 2020,wa,-1
105,Mon May 11 23:57:31 +0000 2020,oh,1
106,Mon May 11 23:57:31 +0000 2020,al,-1
107,Mon May 11 23:57:29 +0000 2020,fl,-1
108,Mon May 11 23:57:29 +0000 2020,tx,-1
109,Mon May 11 23:57:25 +0000 2020,nc,-1
110,Mon May 11 23:57:20 +0000 2020,or,-1
111,Mon May 11 23:57:19 +0000 2020,tx,-1
112,Mon May 11 23:57:19 +0000 2020,wi,1
114,Mon May 11 23:57:15 +0000 2020,ks,-1
115,Mon May 11 23:57:12 +0000 2020,ks,1
116,Mon May 11 23:57:11 +0000 2020,tn,1
117,Mon May 11 23:57:06 +0000 2020,pa,-1
119,Mon May 11 23:56:59 +0000 2020,fl,-1
120,Mon May 11 23:56:59 +0000 2020,tx,1
121,Mon May 11 23:56:47 +0000 2020,ca,-1
122,Mon May 11 23:56:43 +0000 2020,nj,1
123,Mon May 11 23:56:41 +0000 2020,il,1
124,Mon May 11 23:56:41 +0000 2020,or,-1
125,Mon May 11 23:56:39 +0000 2020,tx,-1
126,Mon May 11 23:56:39 +0000 2020,ga,1
127,Mon May 11 23:56:32 +0000 2020,nv,-1
128,Mon May 11 23:56:21 +0000 2020,nc,-1
130,Mon May 11 23:56:17 +0000 2020,nv,-1
131,Mon May 11 23:56:15 +0000 2020,pa,1
132,Mon May 11 23:56:11 +0000 2020,wi,-1
133,Mon May 11 23:56:07 +0000 2020,ny,1
134,Mon May 11 23:56:04 +0000 2020,mi,1
135,Mon May 11 23:56:03 +0000 2020,va,-1
136,Mon May 11 23:56:01 +0000 2020,pa,-1
137,Mon May 11 23:56:00 +0000 2020,il,1
138,Mon May 11 23:55:57 +0000 2020,dc,1
139,Mon May 11 23:55:55 +0000 2020,ny,-1
140,Mon May 11 23:55:54 +0000 2020,ky,1
141,Mon May 11 23:55:51 +0000 2020,ny,-1
142,Mon May 11 23:55:51 +0000 2020,ny,-1
143,Mon May 11 23:55:45 +0000 2020,ma,-1
144,Mon May 11 23:55:44 +0000 2020,ca,-1
145,Mon May 11 23:55:44 +0000 2020,dc,-1
146,Mon May 11 23:55:41 +0000 2020,az,1
147,Mon May 11 23:55:40 +0000 2020,ca,-1
148,Mon May 11 23:55:38 +0000 2020,in,-1
149,Mon May 11 23:55:38 +0000 2020,ia,-1
150,Mon May 11 23:55:36 +0000 2020,nh,-1
151,Mon May 11 23:55:34 +0000 2020,mn,1
152,Mon May 11 23:55:34 +0000 2020,il,1
154,Mon May 11 23:55:34 +0000 2020,ga,-1
155,Mon May 11 23:55:33 +0000 2020,tx,-1
156,Mon May 11 23:55:30 +0000 2020,nj,-1
158,Mon May 11 23:55:26 +0000 2020,il,1
159,Mon May 11 23:55:23 +0000 2020,al,-1
160,Mon May 11 23:55:22 +0000 2020,pa,-1
161,Mon May 11 23:55:14 +0000 2020,ny,-1
162,Mon May 11 23:55:13 +0000 2020,fl,1
163,Mon May 11 23:55:12 +0000 2020,in,-1
164,Mon May 11 23:55:11 +0000 2020,al,1
165,Mon May 11 23:55:10 +0000 2020,dc,-1
166,Mon May 11 23:55:07 +0000 2020,nv,1
167,Mon May 11 23:55:02 +0000 2020,dc,-1
168,Mon May 11 23:54:52 +0000 2020,ky,-1
169,Mon May 11 23:54:52 +0000 2020,tn,1
170,Mon May 11 23:54:50 +0000 2020,la,1
171,Mon May 11 23:54:33 +0000 2020,il,-1
172,Mon May 11 23:54:32 +0000 2020,fl,1
173,Mon May 11 23:54:31 +0000 2020,co,1
174,Mon May 11 23:54:28 +0000 2020,il,1
175,Mon May 11 23:54:26 +0000 2020,fl,1
176,Mon May 11 23:54:23 +0000 2020,co,1
177,Mon May 11 23:54:20 +0000 2020,or,-1
178,Mon May 11 23:54:19 +0000 2020,fl,1
179,Mon May 11 23:54:18 +0000 2020,ca,-1
180,Mon May 11 23:54:11 +0000 2020,tx,1
181,Mon May 11 23:54:11 +0000 2020,ga,1
182,Mon May 11 23:54:10 +0000 2020,tx,-1
183,Mon May 11 23:54:09 +0000 2020,ca,-1
184,Mon May 11 23:54:06 +0000 2020,az,1
185,Mon May 11 23:54:05 +0000 2020,tn,1
186,Mon May 11 23:54:04 +0000 2020,ca,-1
188,Mon May 11 23:54:01 +0000 2020,ca,-1
189,Mon May 11 23:54:00 +0000 2020,wy,1
190,Mon May 11 23:53:56 +0000 2020,tx,1
191,Mon May 11 23:53:55 +0000 2020,tx,1
192,Mon May 11 23:53:54 +0000 2020,ny,-1
193,Mon May 11 23:53:51 +0000 2020,nv,-1
